Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Jerry Rice,SFO,WR,24.0,342.84,16.0,15.0,16.0,0.0,2.0,72.0,1.0,10.0,1570.0,15.0,,86.0,0.0,2.0,0.0
Dan Marino,MIA,QB,25.0,303.54,16.0,16.0,4746.0,44.0,623.0,-3.0,0.0,12.0,0.0,0.0,,0.0,23.0,8.0,0.0
Eric Dickerson,RAM,RB,26.0,275.2,16.0,16.0,15.0,1.0,1.0,1821.0,11.0,404.0,205.0,0.0,,26.0,0.0,12.0,0.0
Joe Morris,NYG,RB,26.0,273.9,15.0,15.0,0.0,0.0,0.0,1516.0,14.0,341.0,233.0,1.0,,21.0,0.0,6.0,0.0
Curt Warner,SEA,RB,25.0,289.3,16.0,16.0,0.0,0.0,0.0,1481.0,13.0,319.0,342.0,0.0,,41.0,0.0,6.0,0.0
Stanley Morgan,NWE,WR,31.0,293.1,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1491.0,10.0,,84.0,0.0,0.0,0.0
Todd Christensen,RAI,TE,30.0,256.3,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.0,8.0,,95.0,0.0,1.0,0.0
Herschel Walker,DAL,RB,24.0,307.4,16.0,9.0,0.0,0.0,0.0,737.0,12.0,151.0,837.0,2.0,,76.0,0.0,5.0,0.0
Walter Payton,CHI,RB,32.0,260.5,16.0,16.0,0.0,0.0,4.0,1333.0,8.0,321.0,382.0,3.0,,37.0,1.0,6.0,0.0
Mark Duper,MIA,WR,27.0,263.3,16.0,16.0,0.0,0.0,0.0,-10.0,0.0,1.0,1313.0,11.0,,67.0,0.0,0.0,0.0
James Brooks,CIN,RB,28.0,281.3,16.0,16.0,0.0,0.0,1.0,1087.0,5.0,205.0,686.0,4.0,,54.0,0.0,2.0,0.0
George Rogers,WAS,RB,28.0,219.7,15.0,15.0,0.0,0.0,0.0,1203.0,18.0,303.0,24.0,0.0,,3.0,0.0,7.0,0.0
Mark Clayton,MIA,WR,25.0,236.3,15.0,14.0,0.0,0.0,0.0,33.0,0.0,2.0,1150.0,10.0,,60.0,0.0,1.0,0.0
Wesley Walker,NYJ,WR,31.0,216.6,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,12.0,,49.0,0.0,3.0,0.0
Boomer Esiason,CIN,QB,25.0,216.96,16.0,16.0,3959.0,24.0,469.0,146.0,1.0,44.0,0.0,0.0,,0.0,17.0,12.0,0.0
Gary Clark,WAS,WR,24.0,240.5,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1265.0,7.0,,74.0,0.0,1.0,0.0
