Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Ron Johnson,NYG,RB,23.0,261.4,14.0,14.0,0.0,0.0,0.0,1027.0,8.0,263.0,487.0,4.0,,48.0,0.0,5.0,0.0
Dick Gordon,CHI,WR,26.0,249.29999999999998,14.0,14.0,0.0,0.0,0.0,17.0,0.0,4.0,1026.0,13.0,,71.0,0.0,2.0,0.0
Gene Washington,SFO,WR,23.0,235.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,12.0,,53.0,0.0,0.0,0.0
Gary Garrison,SDG,WR,26.0,217.29999999999998,14.0,14.0,0.0,0.0,0.0,7.0,0.0,4.0,1006.0,12.0,,44.0,0.0,0.0,0.0
MacArthur Lane,STL,RB,28.0,240.2,14.0,14.0,0.0,0.0,0.0,977.0,11.0,206.0,365.0,2.0,,32.0,0.0,2.0,0.0
Warren Wells,OAK,WR,28.0,205.9,14.0,13.0,0.0,0.0,0.0,34.0,0.0,3.0,935.0,11.0,,43.0,0.0,0.0,0.0
Bob Hayes,DAL,WR,28.0,182.3,13.0,9.0,0.0,0.0,0.0,34.0,1.0,4.0,889.0,10.0,,34.0,0.0,5.0,0.0
Marlin Briscoe,BUF,WR,25.0,204.5,14.0,14.0,0.0,0.0,0.0,19.0,0.0,3.0,1036.0,8.0,,57.0,0.0,3.0,0.0
John Brodie,SFO,QB,35.0,206.54,14.0,14.0,2941.0,24.0,378.0,29.0,2.0,9.0,0.0,0.0,,0.0,10.0,1.0,0.0
Larry Brown,WAS,RB,23.0,213.6,13.0,13.0,0.0,0.0,0.0,1125.0,5.0,237.0,341.0,2.0,,37.0,0.0,6.0,0.0
Fran Tarkenton,NYG,QB,30.0,192.67999999999998,14.0,14.0,2777.0,19.0,389.0,236.0,2.0,43.0,0.0,0.0,,0.0,12.0,3.0,0.0
John Gilliam,STL,WR,25.0,177.0,14.0,14.0,0.0,0.0,0.0,68.0,1.0,5.0,952.0,5.0,,45.0,0.0,3.0,0.0
Jack Snow,RAM,WR,27.0,178.9,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,859.0,7.0,,51.0,0.0,0.0,0.0
Ken Willard,SFO,RB,27.0,189.8,14.0,14.0,0.0,0.0,0.0,789.0,7.0,236.0,259.0,3.0,,31.0,0.0,3.0,0.0
Bo Scott,CLE,RB,27.0,195.6,13.0,13.0,0.0,0.0,0.0,625.0,7.0,151.0,351.0,4.0,,40.0,0.0,4.0,0.0
John Hadl,SDG,QB,30.0,172.32,14.0,12.0,2388.0,22.0,327.0,188.0,1.0,28.0,0.0,0.0,,0.0,15.0,3.0,0.0
Roy Jefferson,BAL,WR,27.0,163.6,14.0,14.0,0.0,0.0,0.0,47.0,0.0,4.0,749.0,7.0,,44.0,0.0,1.0,0.0
Danny Abramowicz,NOR,WR,25.0,172.29999999999998,14.0,14.0,0.0,0.0,0.0,7.0,0.0,1.0,906.0,5.0,,55.0,0.0,2.0,0.0
Eddie Hinton,BAL,WR,23.0,168.10000000000002,13.0,13.0,0.0,0.0,0.0,58.0,2.0,5.0,733.0,5.0,,47.0,0.0,0.0,0.0
Sonny Jurgensen,WAS,QB,36.0,168.06,14.0,14.0,2354.0,23.0,337.0,39.0,1.0,6.0,0.0,0.0,,0.0,10.0,4.0,0.0
Mel Farr,DET,RB,26.0,178.0,12.0,12.0,0.0,0.0,0.0,717.0,9.0,166.0,213.0,2.0,,29.0,0.0,5.0,0.0
Fred Biletnikoff,OAK,WR,27.0,163.8,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,7.0,,45.0,0.0,0.0,0.0
Jerry Smith,WAS,TE,27.0,157.4,14.0,14.0,0.0,0.0,0.0,29.0,0.0,2.0,575.0,9.0,,43.0,0.0,0.0,0.0
Donny Anderson,GNB,RB,27.0,176.7,14.0,14.0,0.0,0.0,1.0,853.0,5.0,222.0,414.0,0.0,,36.0,0.0,8.0,0.0
Jim Kiick,MIA,RB,24.0,186.5,14.0,13.0,25.0,0.0,1.0,658.0,6.0,191.0,497.0,0.0,,42.0,0.0,4.0,0.0
Jim Mitchell,ATL,TE,23.0,153.3,14.0,14.0,0.0,0.0,0.0,23.0,1.0,5.0,650.0,6.0,,44.0,0.0,0.0,0.0
John Fuqua,PIT,RB,24.0,161.0,14.0,14.0,0.0,0.0,0.0,691.0,7.0,138.0,289.0,2.0,,23.0,0.0,7.0,0.0
Charley Taylor,WAS,WR,29.0,149.0,10.0,10.0,0.0,0.0,0.0,17.0,0.0,1.0,593.0,8.0,,42.0,0.0,1.0,0.0
Paul Warfield,MIA,WR,28.0,135.60000000000002,11.0,11.0,0.0,0.0,0.0,13.0,0.0,2.0,703.0,6.0,,28.0,0.0,0.0,0.0
Willie Frazier,SDG,TE,28.0,139.7,14.0,12.0,0.0,0.0,0.0,120.0,1.0,5.0,497.0,6.0,,38.0,0.0,1.0,0.0
Daryle Lamonica,OAK,QB,29.0,161.04,14.0,14.0,2516.0,22.0,356.0,24.0,0.0,8.0,0.0,0.0,,0.0,15.0,0.0,0.0
Leroy Kelly,CLE,RB,28.0,162.7,13.0,13.0,0.0,0.0,0.0,656.0,6.0,206.0,311.0,2.0,,24.0,0.0,3.0,0.0
Roman Gabriel,RAM,QB,30.0,146.48,14.0,14.0,2552.0,16.0,407.0,104.0,1.0,28.0,0.0,0.0,,0.0,12.0,6.0,0.0
Clifton McNeil,NYG,WR,30.0,151.1,14.0,14.0,0.0,0.0,0.0,7.0,0.0,4.0,764.0,4.0,,50.0,0.0,0.0,0.0
Raymond Chester,OAK,TE,22.0,137.6,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,7.0,,42.0,0.0,1.0,0.0
Jackie Smith,STL,TE,30.0,134.0,14.0,14.0,0.0,0.0,0.0,43.0,0.0,5.0,687.0,4.0,,37.0,0.0,0.0,0.0
Les Josephson,RAM,RB,28.0,175.7,12.0,12.0,25.0,0.0,1.0,640.0,5.0,150.0,427.0,0.0,,44.0,0.0,3.0,0.0
Carroll Dale,GNB,WR,32.0,139.3,14.0,14.0,0.0,0.0,0.0,9.0,0.0,2.0,814.0,2.0,,49.0,0.0,2.0,0.0
Gene Washington,MIN,WR,26.0,136.2,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,702.0,4.0,,44.0,0.0,1.0,0.0
Charlie Sanders,DET,TE,24.0,130.4,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0,6.0,,40.0,0.0,0.0,0.0
Larry Csonka,MIA,RB,24.0,137.8,14.0,14.0,0.0,0.0,0.0,874.0,6.0,193.0,94.0,0.0,,11.0,0.0,3.0,0.0
Ron Shanklin,PIT,WR,22.0,121.1,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0,4.0,,30.0,0.0,1.0,0.0
