Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Eric Dickerson,RAM,RB,23.0,366.20000000000005,16.0,16.0,0.0,0.0,0.0,1808.0,18.0,390.0,404.0,2.0,,51.0,0.0,13.0,0.0
William Andrews,ATL,RB,28.0,330.6,16.0,16.0,0.0,0.0,1.0,1567.0,7.0,331.0,609.0,4.0,,59.0,0.0,6.0,0.0
John Riggins+,WAS,RB,34.0,276.6,15.0,15.0,0.0,0.0,1.0,1347.0,24.0,375.0,29.0,0.0,,5.0,0.0,5.0,0.0
Todd Christensen,RAI,TE,27.0,286.7,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,12.0,,92.0,0.0,1.0,0.0
Mike Quick,PHI,WR,24.0,285.9,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.0,13.0,,69.0,0.0,1.0,0.0
Roy Green,STL,WR,26.0,283.59999999999997,16.0,15.0,0.0,0.0,0.0,49.0,0.0,4.0,1227.0,14.0,,78.0,0.0,3.0,0.0
Walter Payton,CHI,RB,29.0,305.6,16.0,16.0,95.0,3.0,6.0,1421.0,6.0,314.0,607.0,2.0,,53.0,2.0,5.0,0.0
Curt Warner,SEA,RB,22.0,291.4,16.0,16.0,0.0,0.0,0.0,1449.0,13.0,335.0,325.0,1.0,,42.0,0.0,6.0,0.0
Joe Montana,SFO,QB,27.0,270.79999999999995,16.0,16.0,3910.0,26.0,515.0,284.0,2.0,61.0,0.0,0.0,,0.0,12.0,3.0,0.0
Kellen Winslow,SDG,TE,26.0,247.2,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.0,8.0,,88.0,0.0,3.0,0.0
Joe Theismann,WAS,QB,34.0,269.96,16.0,16.0,3714.0,29.0,459.0,234.0,1.0,37.0,0.0,0.0,,0.0,11.0,1.0,0.0
Carlos Carson,KAN,WR,25.0,261.02,16.0,16.0,48.0,1.0,1.0,20.0,0.0,2.0,1351.0,7.0,,80.0,0.0,2.0,0.0
James Lofton,GNB,WR,27.0,239.6,16.0,16.0,0.0,0.0,0.0,36.0,0.0,9.0,1300.0,8.0,,58.0,0.0,0.0,0.0
Lynn Dickey,GNB,QB,34.0,249.51999999999998,16.0,16.0,4458.0,32.0,484.0,12.0,3.0,21.0,0.0,0.0,,0.0,29.0,9.0,0.0
