Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Randall Cunningham,PHI,QB,27.0,338.84,16.0,16.0,3466.0,30.0,465.0,942.0,5.0,118.0,0.0,0.0,,0.0,13.0,9.0,0.0
Warren Moon,HOU,QB,34.0,291.06,15.0,15.0,4689.0,33.0,584.0,215.0,2.0,55.0,0.0,0.0,,0.0,13.0,18.0,0.0
Barry Sanders,DET,RB,22.0,302.4,16.0,16.0,0.0,0.0,0.0,1304.0,13.0,255.0,480.0,3.0,,36.0,0.0,4.0,0.0
Thurman Thomas,BUF,RB,24.0,297.9,16.0,16.0,0.0,0.0,0.0,1297.0,11.0,271.0,532.0,2.0,,49.0,0.0,6.0,0.0
Jerry Rice,SFO,WR,28.0,326.2,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,1502.0,13.0,,100.0,0.0,1.0,0.0
Neal Anderson,CHI,RB,26.0,272.2,15.0,14.0,0.0,0.0,0.0,1078.0,10.0,260.0,484.0,3.0,,42.0,0.0,2.0,0.0
Joe Montana,SFO,QB,34.0,243.95999999999998,15.0,15.0,3944.0,26.0,520.0,162.0,1.0,40.0,0.0,0.0,,0.0,16.0,4.0,0.0
Andre Rison,ATL,WR,23.0,258.8,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.0,10.0,,82.0,0.0,2.0,0.0
Earnest Byner,WAS,RB,28.0,224.04000000000002,16.0,16.0,31.0,1.0,2.0,1219.0,6.0,297.0,279.0,1.0,,31.0,0.0,2.0,0.0
Derrick Fenner,SEA,RB,23.0,201.2,16.0,15.0,0.0,0.0,0.0,859.0,14.0,215.0,143.0,1.0,,17.0,0.0,3.0,0.0
Cleveland Gary,RAM,RB,24.0,191.8,15.0,7.0,0.0,0.0,0.0,808.0,14.0,204.0,150.0,1.0,,30.0,0.0,12.0,0.0
Emmitt Smith,DAL,RB,21.0,192.5,16.0,15.0,0.0,0.0,0.0,937.0,11.0,241.0,228.0,0.0,,24.0,0.0,7.0,0.0
Marion Butts,SDG,RB,24.0,198.2,14.0,13.0,0.0,0.0,0.0,1225.0,8.0,265.0,117.0,0.0,,16.0,0.0,0.0,0.0
James Brooks,CIN,RB,32.0,201.3,16.0,15.0,0.0,0.0,0.0,1004.0,5.0,195.0,269.0,4.0,,26.0,0.0,3.0,0.0
Lorenzo White,HOU,RB,24.0,204.0,16.0,16.0,0.0,0.0,0.0,702.0,8.0,168.0,368.0,4.0,,39.0,0.0,7.0,0.0
Gary Clark,WAS,WR,28.0,234.29999999999998,16.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,1112.0,8.0,,75.0,0.0,0.0,0.0
Ernest Givins,HOU,WR,26.0,228.4,16.0,16.0,0.0,0.0,0.0,65.0,0.0,3.0,979.0,9.0,,72.0,0.0,1.0,0.0
Bobby Humphrey,DEN,RB,24.0,185.4,15.0,14.0,0.0,0.0,2.0,1202.0,7.0,288.0,152.0,0.0,,24.0,0.0,8.0,0.0
Jim Everett,RAM,QB,27.0,218.66,16.0,16.0,3989.0,23.0,554.0,31.0,1.0,20.0,0.0,0.0,,0.0,17.0,4.0,0.0
Brent Jones,SFO,TE,27.0,156.7,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,747.0,5.0,,56.0,0.0,2.0,0.0
Henry Ellard,RAM,WR,29.0,223.5,15.0,15.0,0.0,0.0,0.0,21.0,0.0,2.0,1294.0,4.0,,76.0,0.0,4.0,0.0
Keith Jackson,PHI,TE,25.0,151.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,6.0,,50.0,0.0,1.0,0.0
Haywood Jeffires,HOU,WR,26.0,226.8,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.0,8.0,,74.0,0.0,0.0,0.0
Merril Hoge,PIT,RB,25.0,199.4,16.0,15.0,0.0,0.0,0.0,772.0,7.0,203.0,342.0,3.0,,40.0,0.0,6.0,0.0
Anthony Carter,MIN,WR,30.0,216.4,15.0,14.0,0.0,0.0,0.0,16.0,0.0,3.0,1008.0,8.0,,70.0,0.0,2.0,0.0
Steve DeBerg,KAN,QB,36.0,203.26,16.0,16.0,3444.0,23.0,444.0,-5.0,0.0,21.0,0.0,0.0,,0.0,4.0,9.0,0.0
Timm Rosenbach,PHO,QB,24.0,198.92000000000002,16.0,16.0,3098.0,16.0,437.0,470.0,3.0,86.0,0.0,0.0,,0.0,17.0,10.0,0.0
Sterling Sharpe,GNB,WR,25.0,214.9,16.0,16.0,0.0,0.0,0.0,14.0,0.0,2.0,1105.0,6.0,,67.0,0.0,0.0,0.0
