Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Barry Sanders,DET,RB,23.0,318.5,15.0,15.0,0.0,0.0,0.0,1548.0,16.0,342.0,307.0,1.0,,41.0,0.0,5.0,0.0
Thurman Thomas,BUF,RB,25.0,327.79999999999995,15.0,15.0,0.0,0.0,0.0,1407.0,7.0,288.0,631.0,5.0,,62.0,0.0,5.0,0.0
Emmitt Smith,DAL,RB,22.0,293.1,16.0,16.0,0.0,0.0,0.0,1563.0,12.0,365.0,258.0,1.0,,49.0,0.0,8.0,0.0
Jim Kelly,BUF,QB,31.0,250.26,15.0,15.0,3844.0,33.0,474.0,45.0,1.0,20.0,0.0,0.0,,0.0,17.0,6.0,0.0
Jerry Rice,SFO,WR,29.0,282.8,16.0,16.0,0.0,0.0,0.0,2.0,0.0,1.0,1206.0,14.0,,80.0,0.0,1.0,0.0
Warren Moon,HOU,QB,35.0,234.40000000000003,16.0,16.0,4690.0,23.0,655.0,68.0,2.0,33.0,0.0,0.0,,0.0,21.0,11.0,0.0
Michael Irvin,DAL,WR,25.0,287.3,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1523.0,8.0,,93.0,0.0,3.0,0.0
Gary Clark,WAS,WR,29.0,264.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1340.0,10.0,,70.0,0.0,0.0,0.0
Dan Marino,MIA,QB,30.0,230.0,16.0,16.0,3970.0,25.0,549.0,32.0,1.0,27.0,0.0,0.0,,0.0,13.0,6.0,0.0
Mark Rypien,WAS,QB,29.0,221.16,16.0,16.0,3564.0,28.0,421.0,6.0,1.0,15.0,0.0,0.0,,0.0,11.0,9.0,0.0
Andre Reed,BUF,WR,27.0,263.90000000000003,16.0,16.0,0.0,0.0,0.0,136.0,0.0,12.0,1113.0,10.0,,81.0,0.0,1.0,0.0
Michael Haynes,ATL,WR,26.0,228.2,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.0,11.0,,50.0,0.0,0.0,0.0
Rodney Hampton,NYG,RB,22.0,227.2,14.0,14.0,0.0,0.0,0.0,1059.0,10.0,256.0,283.0,0.0,,43.0,0.0,5.0,0.0
Mark Clayton,MIA,WR,30.0,247.3,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,12.0,,70.0,0.0,0.0,0.0
Robert Delpino,RAM,RB,26.0,239.5,16.0,15.0,0.0,0.0,0.0,688.0,9.0,214.0,617.0,1.0,,55.0,0.0,3.0,0.0
John Elway,DEN,QB,31.0,199.02,16.0,16.0,3253.0,13.0,451.0,255.0,6.0,55.0,24.0,0.0,,1.0,12.0,12.0,0.0
Andre Rison,ATL,WR,24.0,247.7,16.0,15.0,0.0,0.0,0.0,-9.0,0.0,1.0,976.0,12.0,,81.0,0.0,1.0,0.0
Steve Young,SFO,QB,30.0,212.18,11.0,10.0,2517.0,17.0,279.0,415.0,4.0,66.0,0.0,0.0,,0.0,8.0,3.0,0.0
Chris Miller,ATL,QB,26.0,205.02,15.0,14.0,3103.0,26.0,413.0,229.0,0.0,32.0,0.0,0.0,,0.0,18.0,5.0,0.0
Haywood Jeffires,HOU,WR,27.0,254.10000000000002,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.0,7.0,,100.0,0.0,3.0,0.0
Marv Cook,NWE,TE,25.0,176.8,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0,3.0,,82.0,0.0,2.0,0.0
James Lofton,BUF,WR,35.0,208.2,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.0,8.0,,57.0,0.0,2.0,0.0
John Taylor,SFO,WR,29.0,217.1,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,9.0,,64.0,0.0,1.0,0.0
Art Monk,WAS,WR,34.0,221.8,16.0,16.0,0.0,0.0,0.0,19.0,0.0,9.0,1049.0,8.0,,71.0,0.0,2.0,0.0
