Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Chuck Foreman,MIN,RB,26.0,297.2,14.0,14.0,0.0,0.0,0.0,1155.0,13.0,278.0,567.0,1.0,,55.0,0.0,7.0,0.0
Cliff Branch,OAK,WR,28.0,230.29999999999998,14.0,14.0,0.0,0.0,0.0,12.0,0.0,3.0,1111.0,12.0,,46.0,0.0,0.0,0.0
Walter Payton,CHI,RB,22.0,226.9,14.0,14.0,0.0,0.0,0.0,1390.0,13.0,311.0,149.0,0.0,,15.0,0.0,10.0,0.0
O.J. Simpson,BUF,RB,29.0,240.20000000000002,14.0,13.0,0.0,0.0,0.0,1503.0,8.0,290.0,259.0,1.0,,22.0,0.0,6.0,0.0
Roger Carr,BAL,WR,24.0,220.2,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,11.0,,43.0,0.0,0.0,0.0
Bert Jones,BAL,QB,25.0,227.56,14.0,14.0,3104.0,24.0,343.0,214.0,2.0,38.0,0.0,0.0,,0.0,9.0,4.0,0.0
Lydell Mitchell,BAL,RB,27.0,275.5,14.0,14.0,0.0,0.0,0.0,1200.0,5.0,289.0,555.0,3.0,,60.0,0.0,4.0,0.0
Lawrence McCutcheon,RAM,RB,26.0,221.3,14.0,14.0,0.0,0.0,0.0,1168.0,9.0,291.0,305.0,2.0,,28.0,0.0,10.0,0.0
Franco Harris,PIT,RB,26.0,218.9,14.0,14.0,0.0,0.0,0.0,1128.0,14.0,289.0,151.0,0.0,,23.0,0.0,8.0,0.0
Steve Grogan,NWE,QB,23.0,207.82,14.0,14.0,1903.0,18.0,302.0,397.0,12.0,60.0,0.0,0.0,,0.0,20.0,6.0,0.0
Delvin Williams,SFO,RB,25.0,218.32,13.0,13.0,18.0,0.0,1.0,1203.0,7.0,248.0,283.0,2.0,,27.0,0.0,6.0,0.0
Sammy White,MIN,WR,22.0,194.6,14.0,14.0,0.0,0.0,0.0,-10.0,0.0,5.0,906.0,10.0,,51.0,0.0,3.0,0.0
Charlie Joiner,SDG,WR,29.0,197.6,14.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1056.0,7.0,,50.0,0.0,0.0,0.0
Dave Casper,OAK,TE,24.0,182.6,13.0,13.0,0.0,0.0,0.0,5.0,0.0,1.0,691.0,10.0,,53.0,0.0,0.0,0.0
Mike Thomas,WAS,RB,23.0,207.1,13.0,12.0,0.0,0.0,0.0,1101.0,5.0,254.0,290.0,4.0,,28.0,0.0,7.0,0.0
Bob Chandler,BUF,WR,27.0,197.4,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,824.0,10.0,,61.0,0.0,3.0,0.0
Walter White,KAN,TE,25.0,171.3,14.0,5.0,0.0,0.0,0.0,15.0,0.0,2.0,808.0,7.0,,47.0,0.0,0.0,0.0
Ken Burrough,HOU,WR,28.0,188.39999999999998,14.0,14.0,0.0,0.0,0.0,22.0,0.0,3.0,932.0,7.0,,51.0,0.0,0.0,0.0
Otis Armstrong,DEN,RB,26.0,213.5,14.0,14.0,0.0,0.0,0.0,1008.0,5.0,247.0,457.0,1.0,,39.0,0.0,4.0,0.0
Ken Stabler,OAK,QB,31.0,179.28000000000003,12.0,12.0,2737.0,27.0,291.0,-2.0,1.0,7.0,0.0,0.0,,0.0,17.0,5.0,0.0
Drew Pearson,DAL,WR,25.0,180.16,14.0,14.0,39.0,1.0,1.0,20.0,0.0,2.0,806.0,6.0,,58.0,0.0,1.0,0.0
Fran Tarkenton,MIN,QB,36.0,172.94,13.0,13.0,2961.0,17.0,412.0,45.0,1.0,27.0,0.0,0.0,,0.0,8.0,4.0,0.0
Greg Pruitt,CLE,RB,25.0,200.66,14.0,13.0,39.0,1.0,3.0,1000.0,4.0,209.0,341.0,1.0,,45.0,0.0,7.0,0.0
Roger Staubach,DAL,QB,34.0,171.0,14.0,14.0,2715.0,14.0,369.0,184.0,3.0,43.0,0.0,0.0,,0.0,11.0,4.0,0.0
Reggie Rucker,CLE,WR,29.0,165.6,14.0,14.0,0.0,0.0,0.0,30.0,0.0,2.0,676.0,8.0,,49.0,0.0,1.0,0.0
Ron Jessie,RAM,WR,28.0,149.6,14.0,14.0,0.0,0.0,0.0,37.0,0.0,4.0,779.0,6.0,,34.0,0.0,1.0,0.0
Isaac Curtis,CIN,WR,26.0,154.5,14.0,14.0,0.0,0.0,0.0,29.0,0.0,3.0,766.0,6.0,,41.0,0.0,1.0,0.0
Andy Johnson,NWE,RB,24.0,183.2,14.0,13.0,0.0,0.0,2.0,699.0,6.0,169.0,343.0,4.0,,29.0,0.0,5.0,0.0
Rocky Bleier,PIT,RB,30.0,179.0,14.0,14.0,0.0,0.0,0.0,1036.0,5.0,220.0,294.0,0.0,,24.0,0.0,4.0,0.0
Ray Jarvis,DET,WR,27.0,147.2,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,5.0,,39.0,0.0,2.0,0.0
Frank Grant,WAS,WR,26.0,160.9,14.0,14.0,0.0,0.0,0.0,-9.0,0.0,1.0,818.0,5.0,,50.0,0.0,0.0,0.0
MacArthur Lane,KAN,RB,34.0,206.8,14.0,14.0,0.0,0.0,0.0,542.0,5.0,162.0,686.0,1.0,,66.0,0.0,9.0,0.0
Greg Landry,DET,QB,30.0,159.04,14.0,12.0,2191.0,17.0,291.0,234.0,1.0,43.0,0.0,0.0,,0.0,8.0,5.0,0.0
