Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Walter Payton,CHI,RB,24.0,293.5,16.0,16.0,0.0,0.0,0.0,1395.0,11.0,333.0,480.0,0.0,,50.0,0.0,5.0,0.0
John Jefferson,SDG,WR,22.0,234.79999999999998,14.0,14.0,0.0,0.0,0.0,7.0,0.0,1.0,1001.0,13.0,,56.0,0.0,0.0,0.0
Dave Casper,OAK,TE,26.0,199.7,16.0,16.0,0.0,0.0,1.0,5.0,0.0,1.0,852.0,9.0,,62.0,0.0,1.0,0.0
Steve Largent,SEA,WR,24.0,235.8,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.0,8.0,,71.0,0.0,0.0,0.0
Roger Staubach,DAL,QB,36.0,209.79999999999998,15.0,15.0,3190.0,25.0,413.0,182.0,1.0,42.0,0.0,0.0,,0.0,16.0,5.0,0.0
Wesley Walker,NYJ,WR,23.0,208.6,16.0,16.0,0.0,0.0,0.0,-3.0,0.0,1.0,1169.0,8.0,,48.0,0.0,2.0,0.0
Earl Campbell,HOU,RB,23.0,221.8,15.0,14.0,0.0,0.0,0.0,1450.0,13.0,302.0,48.0,0.0,,12.0,0.0,9.0,0.0
Jim Zorn,SEA,QB,25.0,194.32,16.0,16.0,3283.0,15.0,443.0,290.0,6.0,59.0,0.0,0.0,,0.0,20.0,11.0,0.0
Tony Dorsett,DAL,RB,24.0,237.3,16.0,15.0,0.0,0.0,1.0,1325.0,7.0,290.0,378.0,2.0,,37.0,0.0,12.0,0.0
Harold Carmichael,PHI,WR,29.0,210.29999999999998,16.0,16.0,0.0,0.0,0.0,21.0,0.0,1.0,1072.0,8.0,,55.0,0.0,1.0,0.0
Steve Grogan,NWE,QB,25.0,192.85999999999999,16.0,16.0,2824.0,15.0,362.0,539.0,5.0,81.0,0.0,0.0,,0.0,23.0,9.0,0.0
Lynn Swann,PIT,WR,26.0,215.7,16.0,16.0,0.0,0.0,0.0,7.0,0.0,1.0,880.0,11.0,,61.0,0.0,0.0,0.0
Terdell Middleton,GNB,RB,23.0,234.8,16.0,16.0,0.0,0.0,0.0,1116.0,11.0,284.0,332.0,1.0,,34.0,0.0,8.0,0.0
Terry Bradshaw,PIT,QB,30.0,188.0,16.0,16.0,2915.0,28.0,368.0,93.0,1.0,32.0,1.0,0.0,,0.0,20.0,8.0,0.0
Riley Odoms,DEN,TE,28.0,169.4,16.0,16.0,0.0,0.0,0.0,5.0,0.0,2.0,829.0,6.0,,54.0,0.0,2.0,0.0
Archie Manning,NOR,QB,29.0,182.83999999999997,16.0,16.0,3416.0,17.0,471.0,202.0,1.0,38.0,0.0,0.0,,0.0,16.0,8.0,0.0
Brian Sipe,CLE,QB,29.0,172.94,16.0,16.0,2906.0,21.0,399.0,87.0,3.0,28.0,0.0,0.0,,0.0,15.0,12.0,0.0
Reggie Rucker,CLE,WR,31.0,175.70000000000002,15.0,15.0,0.0,0.0,0.0,14.0,0.0,2.0,893.0,8.0,,43.0,0.0,3.0,0.0
Wilbert Montgomery,PHI,RB,24.0,223.5,14.0,14.0,0.0,0.0,0.0,1220.0,9.0,259.0,195.0,1.0,,34.0,0.0,6.0,0.0
Dan Fouts,SDG,QB,27.0,172.26,15.0,14.0,2999.0,24.0,381.0,43.0,2.0,20.0,0.0,0.0,,0.0,20.0,10.0,0.0
Henry Childs,NOR,TE,27.0,161.5,16.0,16.0,0.0,0.0,0.0,-4.0,0.0,2.0,869.0,4.0,,53.0,0.0,1.0,0.0
John Stallworth,PIT,WR,26.0,170.8,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,9.0,,41.0,0.0,2.0,0.0
Billy Joe DuPree,DAL,TE,28.0,134.4,16.0,16.0,0.0,0.0,0.0,15.0,0.0,1.0,509.0,9.0,,34.0,0.0,3.0,0.0
Sammy White,MIN,WR,24.0,182.1,16.0,16.0,0.0,0.0,0.0,30.0,0.0,5.0,741.0,9.0,,53.0,0.0,1.0,0.0
Delvin Williams,MIA,RB,27.0,203.0,16.0,15.0,0.0,0.0,1.0,1258.0,8.0,272.0,192.0,0.0,,18.0,0.0,4.0,0.0
Mark van Eeghen,OAK,RB,26.0,208.1,16.0,16.0,0.0,0.0,0.0,1080.0,9.0,270.0,291.0,0.0,,27.0,0.0,5.0,0.0
Tony Reed,KAN,RB,23.0,225.6,16.0,16.0,0.0,0.0,0.0,1053.0,5.0,206.0,483.0,1.0,,48.0,0.0,6.0,0.0
Fran Tarkenton,MIN,QB,38.0,166.12,16.0,16.0,3468.0,25.0,572.0,-6.0,1.0,24.0,0.0,0.0,,0.0,32.0,7.0,0.0
