Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Otis Armstrong,DEN,RB,24.0,279.2,14.0,14.0,0.0,0.0,0.0,1407.0,9.0,263.0,405.0,3.0,,38.0,0.0,6.0,0.0
Cliff Branch,OAK,WR,26.0,245.2,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.0,13.0,,60.0,0.0,1.0,0.0
Chuck Foreman,MIN,RB,24.0,267.3,13.0,13.0,0.0,0.0,0.0,777.0,9.0,199.0,586.0,6.0,,53.0,0.0,6.0,0.0
Don Woods,SDG,RB,23.0,232.22,12.0,9.0,28.0,1.0,3.0,1162.0,7.0,227.0,349.0,3.0,,26.0,1.0,4.0,0.0
Mack Herron,NWE,RB,26.0,215.8,14.0,14.0,0.0,0.0,0.0,824.0,7.0,231.0,474.0,5.0,,38.0,0.0,12.0,0.0
Ken Anderson,CIN,QB,25.0,196.08,13.0,13.0,2667.0,18.0,328.0,314.0,2.0,43.0,0.0,0.0,,0.0,10.0,3.0,0.0
Lawrence McCutcheon,RAM,RB,24.0,206.7,14.0,14.0,0.0,0.0,0.0,1109.0,3.0,236.0,408.0,2.0,,39.0,0.0,7.0,0.0
Tom Sullivan,PHI,RB,24.0,206.2,14.0,14.0,0.0,0.0,0.0,760.0,11.0,244.0,312.0,1.0,,39.0,0.0,6.0,0.0
Ken Stabler,OAK,QB,29.0,178.56,14.0,13.0,2469.0,26.0,310.0,-2.0,1.0,12.0,0.0,0.0,,0.0,12.0,3.0,0.0
Lydell Mitchell,BAL,RB,25.0,232.10000000000002,14.0,14.0,0.0,0.0,0.0,757.0,5.0,214.0,544.0,2.0,,72.0,0.0,6.0,0.0
Isaac Curtis,CIN,WR,24.0,157.5,14.0,14.0,0.0,0.0,0.0,62.0,0.0,8.0,633.0,10.0,,30.0,0.0,1.0,0.0
Sam Cunningham,NWE,RB,24.0,186.5,10.0,10.0,0.0,0.0,0.0,811.0,9.0,166.0,214.0,2.0,,22.0,0.0,2.0,0.0
Drew Pearson,DAL,WR,23.0,187.14000000000001,14.0,14.0,46.0,1.0,1.0,6.0,0.0,3.0,1087.0,2.0,,62.0,0.0,1.0,0.0
Jim Hart,STL,QB,30.0,164.54,14.0,14.0,2411.0,20.0,388.0,21.0,2.0,10.0,0.0,0.0,,0.0,8.0,5.0,0.0
Fran Tarkenton,MIN,QB,34.0,167.92000000000002,13.0,13.0,2598.0,17.0,351.0,120.0,2.0,21.0,0.0,0.0,,0.0,12.0,2.0,0.0
Rich Caster,NYJ,TE,26.0,150.5,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,745.0,7.0,,38.0,0.0,2.0,0.0
Roger Staubach,DAL,QB,32.0,151.77999999999997,14.0,14.0,2552.0,11.0,360.0,320.0,3.0,47.0,-13.0,0.0,,1.0,15.0,7.0,0.0
Franco Harris,PIT,RB,24.0,161.6,12.0,11.0,0.0,0.0,0.0,1006.0,5.0,208.0,200.0,1.0,,23.0,0.0,9.0,0.0
O.J. Simpson,BUF,RB,27.0,156.4,14.0,14.0,0.0,0.0,1.0,1125.0,3.0,270.0,189.0,1.0,,15.0,0.0,7.0,0.0
Mel Gray,STL,WR,26.0,152.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,6.0,,39.0,0.0,0.0,0.0
Harold Carmichael,PHI,WR,25.0,166.3,14.0,14.0,0.0,0.0,1.0,-6.0,0.0,2.0,649.0,8.0,,56.0,0.0,1.0,0.0
Jim Plunkett,NWE,QB,27.0,150.38,14.0,14.0,2457.0,19.0,352.0,161.0,2.0,30.0,0.0,0.0,,0.0,22.0,4.0,0.0
Terry Metcalf,STL,RB,23.0,173.5,14.0,13.0,0.0,0.0,2.0,718.0,6.0,152.0,377.0,1.0,,50.0,0.0,14.0,0.0
Riley Odoms,DEN,TE,24.0,144.4,14.0,14.0,0.0,0.0,0.0,25.0,0.0,4.0,639.0,6.0,,42.0,0.0,0.0,0.0
John Brockington,GNB,RB,26.0,180.7,14.0,14.0,0.0,0.0,0.0,883.0,5.0,266.0,314.0,0.0,,43.0,0.0,6.0,0.0
Gary Garrison,SDG,WR,30.0,147.5,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,785.0,5.0,,41.0,0.0,1.0,0.0
Charley Taylor,WAS,WR,33.0,157.70000000000002,14.0,14.0,0.0,0.0,0.0,-1.0,0.0,1.0,738.0,5.0,,54.0,0.0,0.0,0.0
