Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Charlie Joiner,CIN,WR,28.0,137.6,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,5.0,,37.0,0.0,1.0,0.0
Nat Moore,MIA,WR,24.0,139.4,14.0,14.0,0.0,0.0,0.0,69.0,0.0,8.0,705.0,4.0,,40.0,0.0,1.0,0.0
Russ Francis,NWE,TE,22.0,120.6,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,4.0,,35.0,0.0,1.0,0.0
Charlie Smith,PHI,WR,25.0,133.0,14.0,12.0,0.0,0.0,0.0,85.0,0.0,9.0,515.0,6.0,,37.0,0.0,0.0,0.0
Sam Cunningham,NWE,RB,25.0,147.89999999999998,13.0,13.0,0.0,0.0,0.0,666.0,6.0,169.0,253.0,2.0,,32.0,0.0,12.0,0.0
Charle Young,PHI,TE,24.0,133.0,14.0,14.0,0.0,0.0,0.0,1.0,0.0,2.0,659.0,3.0,,49.0,0.0,0.0,0.0
Reggie Rucker,CLE,WR,28.0,155.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,3.0,,60.0,0.0,0.0,0.0
Robert Newhouse,DAL,RB,25.0,162.34,14.0,13.0,46.0,1.0,2.0,930.0,2.0,209.0,275.0,0.0,,34.0,0.0,5.0,0.0
Glenn Doughty,BAL,WR,28.0,130.1,14.0,14.0,0.0,0.0,0.0,5.0,0.0,1.0,666.0,4.0,,39.0,0.0,0.0,0.0
Ray Rhodes,NYG,WR,25.0,109.3,14.0,14.0,0.0,0.0,0.0,-4.0,0.0,3.0,537.0,6.0,,26.0,0.0,3.0,0.0
Jim Mitchell,ATL,TE,28.0,111.6,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,4.0,,34.0,0.0,0.0,0.0
Lawrence McCutcheon,RAM,RB,25.0,155.1,13.0,13.0,0.0,0.0,1.0,911.0,2.0,213.0,230.0,1.0,,31.0,0.0,4.0,0.0
Riley Odoms,DEN,TE,25.0,111.10000000000001,14.0,14.0,0.0,0.0,0.0,27.0,0.0,5.0,544.0,3.0,,40.0,0.0,2.0,0.0
Walter Payton,CHI,RB,21.0,144.2,13.0,7.0,0.0,0.0,1.0,679.0,7.0,196.0,213.0,0.0,,33.0,1.0,9.0,0.0
Jerome Barkum,NYJ,WR,25.0,120.2,13.0,13.0,0.0,0.0,0.0,-7.0,0.0,1.0,549.0,5.0,,36.0,0.0,0.0,0.0
Jon Keyworth,DEN,RB,25.0,161.9,14.0,14.0,0.0,0.0,0.0,725.0,3.0,182.0,314.0,1.0,,42.0,0.0,4.0,0.0
Bo Rather,CHI,WR,25.0,117.9,14.0,14.0,0.0,0.0,0.0,24.0,0.0,4.0,685.0,2.0,,39.0,0.0,2.0,0.0
Walter White,KAN,TE,24.0,93.9,14.0,1.0,0.0,0.0,1.0,-10.0,0.0,3.0,559.0,3.0,,23.0,1.0,0.0,0.0
James Harris,RAM,QB,28.0,110.42000000000002,13.0,13.0,2148.0,14.0,285.0,45.0,1.0,18.0,0.0,0.0,,0.0,15.0,6.0,0.0
Delvin Williams,SFO,RB,24.0,156.1,14.0,12.0,0.0,0.0,0.0,631.0,3.0,117.0,370.0,1.0,,34.0,0.0,1.0,0.0
Dan Pastorini,HOU,QB,26.0,115.82000000000001,14.0,14.0,2053.0,14.0,342.0,97.0,1.0,23.0,0.0,0.0,,0.0,16.0,3.0,0.0
Barry Pearson,KAN,WR,25.0,112.8,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,3.0,,36.0,0.0,1.0,0.0
Jean Fugett,DAL,TE,24.0,105.0,14.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,488.0,3.0,,38.0,0.0,0.0,0.0
Ronnie Coleman,HOU,RB,24.0,127.9,14.0,12.0,0.0,0.0,1.0,790.0,5.0,175.0,129.0,0.0,,18.0,0.0,6.0,0.0
Charlie Sanders,DET,TE,29.0,101.6,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,3.0,,37.0,0.0,1.0,0.0
Pat Curran,SDG,TE,30.0,107.0,14.0,14.0,0.0,0.0,0.0,21.0,0.0,3.0,619.0,0.0,,45.0,0.0,1.0,0.0
Ken Payne,GNB,WR,25.0,132.4,14.0,14.0,0.0,0.0,0.0,-2.0,0.0,1.0,766.0,0.0,,58.0,0.0,1.0,0.0
Oscar Roan,CLE,TE,24.0,101.3,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,3.0,,41.0,0.0,2.0,0.0
Raymond Chester,BAL,TE,27.0,99.7,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,3.0,,38.0,0.0,1.0,0.0
Woody Green,KAN,RB,24.0,129.6,12.0,11.0,0.0,0.0,0.0,611.0,5.0,167.0,215.0,1.0,,23.0,0.0,6.0,0.0
Norm Bulaich,MIA,RB,29.0,146.5,14.0,1.0,0.0,0.0,0.0,309.0,5.0,78.0,276.0,5.0,,32.0,0.0,2.0,0.0
Ron Jessie,RAM,WR,27.0,115.2,14.0,14.0,0.0,0.0,0.0,15.0,0.0,2.0,547.0,3.0,,41.0,0.0,0.0,0.0
Ray Jarvis,DET,WR,26.0,101.1,14.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,501.0,4.0,,29.0,0.0,1.0,0.0
Steve Grogan,NWE,QB,22.0,104.04,13.0,7.0,1976.0,11.0,274.0,110.0,3.0,30.0,0.0,0.0,,0.0,18.0,6.0,0.0
Boobie Clark,CIN,RB,25.0,148.8,14.0,13.0,0.0,0.0,0.0,594.0,4.0,167.0,334.0,0.0,,42.0,0.0,5.0,0.0
Walker Gillette,NYG,WR,28.0,113.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,2.0,,43.0,0.0,1.0,0.0
Stu Voigt,MIN,TE,27.0,94.3,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,4.0,,34.0,0.0,0.0,0.0
Craig Morton,NYG,QB,32.0,95.56000000000002,14.0,14.0,2359.0,11.0,363.0,72.0,0.0,22.0,0.0,0.0,,0.0,16.0,9.0,0.0
Jim Lash,MIN,WR,24.0,108.5,14.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,535.0,3.0,,37.0,0.0,0.0,0.0
John Brockington,GNB,RB,27.0,144.6,14.0,12.0,0.0,0.0,0.0,434.0,7.0,144.0,242.0,1.0,,33.0,0.0,2.0,0.0
