Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Jerry Rice,SFO,WR,25.0,311.90000000000003,12.0,12.0,0.0,0.0,0.0,51.0,1.0,8.0,1078.0,22.0,,65.0,0.0,2.0,0.0
Charles White,RAM,RB,29.0,222.5,15.0,12.0,0.0,0.0,0.0,1374.0,11.0,324.0,121.0,0.0,,23.0,0.0,8.0,0.0
Randall Cunningham,PHI,QB,24.0,224.64,12.0,12.0,2786.0,23.0,406.0,505.0,3.0,76.0,-3.0,0.0,,1.0,12.0,12.0,0.0
Herschel Walker,DAL,RB,25.0,260.6,12.0,11.0,0.0,0.0,0.0,891.0,7.0,209.0,715.0,1.0,,60.0,0.0,4.0,0.0
Joe Montana,SFO,QB,31.0,234.26,13.0,11.0,3054.0,31.0,398.0,141.0,1.0,35.0,0.0,0.0,,0.0,13.0,3.0,0.0
Mark Bavaro,NYG,TE,24.0,185.7,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0,8.0,,55.0,0.0,2.0,0.0
John Elway,DEN,QB,27.0,230.32000000000002,12.0,12.0,3198.0,19.0,410.0,304.0,4.0,66.0,0.0,0.0,,0.0,12.0,2.0,0.0
J.T. Smith,STL,WR,32.0,246.7,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.0,8.0,,91.0,0.0,2.0,0.0
Neil Lomax,STL,QB,28.0,204.17999999999998,12.0,12.0,3387.0,24.0,463.0,107.0,0.0,29.0,0.0,0.0,,0.0,12.0,7.0,0.0
Eric Dickerson,2TM,RB,27.0,185.9,12.0,10.0,0.0,0.0,0.0,1288.0,6.0,283.0,171.0,0.0,,18.0,0.0,7.0,0.0
Dan Marino,MIA,QB,26.0,203.3,12.0,12.0,3245.0,26.0,444.0,-5.0,1.0,12.0,0.0,0.0,,0.0,13.0,5.0,0.0
Gary Clark,WAS,WR,25.0,198.6,12.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1066.0,7.0,,56.0,0.0,3.0,0.0
Curt Warner,SEA,RB,26.0,184.2,12.0,12.0,0.0,0.0,0.0,985.0,8.0,234.0,167.0,2.0,,17.0,0.0,4.0,0.0
Carlos Carson,KAN,WR,29.0,198.70000000000002,12.0,12.0,0.0,0.0,0.0,-7.0,0.0,1.0,1044.0,7.0,,55.0,0.0,1.0,0.0
Mike Quick,PHI,WR,28.0,185.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,790.0,11.0,,46.0,0.0,3.0,0.0
Steve Largent,SEA,WR,33.0,196.5,13.0,13.0,0.0,0.0,2.0,33.0,0.0,2.0,912.0,8.0,,58.0,0.0,2.0,0.0
Bernie Kosar,CLE,QB,24.0,195.51999999999998,12.0,12.0,3033.0,22.0,389.0,22.0,1.0,15.0,0.0,0.0,,0.0,9.0,2.0,0.0
Albert Bentley,IND,RB,27.0,189.8,12.0,4.0,0.0,0.0,0.0,631.0,7.0,142.0,447.0,2.0,,34.0,0.0,3.0,0.0
Drew Hill,HOU,WR,31.0,181.9,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,989.0,6.0,,49.0,0.0,1.0,0.0
Anthony Carter,MIN,WR,27.0,172.2,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,7.0,,38.0,0.0,0.0,0.0
Earnest Byner,CLE,RB,25.0,200.4,12.0,12.0,0.0,0.0,0.0,432.0,8.0,105.0,552.0,2.0,,52.0,0.0,5.0,0.0
Robert Awalt,STL,TE,23.0,129.7,12.0,9.0,0.0,0.0,0.0,-9.0,0.0,2.0,526.0,6.0,,42.0,0.0,0.0,0.0
Warren Moon,HOU,QB,31.0,173.44,12.0,12.0,2806.0,21.0,368.0,112.0,3.0,34.0,0.0,0.0,,0.0,18.0,8.0,0.0
Ernest Givins,HOU,WR,23.0,177.0,12.0,12.0,0.0,0.0,0.0,-13.0,0.0,1.0,933.0,6.0,,53.0,0.0,2.0,0.0
Roger Craig,SFO,RB,27.0,210.7,14.0,14.0,0.0,0.0,0.0,815.0,3.0,215.0,492.0,1.0,,66.0,0.0,5.0,0.0
Al Toon,NYJ,WR,24.0,195.6,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,5.0,,68.0,0.0,0.0,0.0
Troy Stradford,MIA,RB,23.0,185.84,12.0,5.0,6.0,0.0,1.0,619.0,6.0,145.0,457.0,1.0,,48.0,0.0,6.0,0.0
Webster Slaughter,CLE,WR,23.0,167.6,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,806.0,7.0,,47.0,0.0,1.0,0.0
Boomer Esiason,CIN,QB,26.0,162.94,12.0,12.0,3321.0,16.0,440.0,241.0,0.0,52.0,0.0,0.0,,0.0,19.0,10.0,0.0
Jim Kelly,BUF,QB,27.0,171.72000000000003,12.0,12.0,2798.0,19.0,419.0,133.0,0.0,29.0,35.0,0.0,,1.0,11.0,6.0,0.0
Stump Mitchell,STL,RB,28.0,187.48,12.0,12.0,17.0,0.0,3.0,781.0,3.0,203.0,397.0,2.0,,45.0,0.0,3.0,0.0
Todd Christensen,RAI,TE,31.0,125.3,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0,2.0,,47.0,0.0,0.0,0.0
Marcus Allen,RAI,RB,27.0,192.32,12.0,12.0,23.0,0.0,2.0,754.0,5.0,200.0,410.0,0.0,,51.0,0.0,3.0,0.0
Mark Clayton,MIA,WR,26.0,166.4,12.0,12.0,0.0,0.0,0.0,8.0,0.0,2.0,776.0,7.0,,46.0,0.0,0.0,0.0
Eric Martin,NOR,WR,26.0,157.8,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,7.0,,44.0,0.0,3.0,0.0
James Lofton,RAI,WR,31.0,159.1,12.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,880.0,5.0,,41.0,0.0,0.0,0.0
Neal Anderson,CHI,RB,23.0,184.3,11.0,10.0,0.0,0.0,0.0,586.0,3.0,129.0,467.0,3.0,,47.0,0.0,2.0,0.0
Dave Krieg,SEA,QB,29.0,152.74,12.0,12.0,2131.0,23.0,294.0,155.0,2.0,36.0,0.0,0.0,,0.0,15.0,11.0,0.0
Pete Mandley,DET,WR,26.0,172.3,12.0,12.0,0.0,0.0,0.0,3.0,0.0,1.0,720.0,7.0,,58.0,0.0,0.0,0.0
Willie Gault,CHI,WR,27.0,149.1,12.0,12.0,0.0,0.0,0.0,16.0,0.0,2.0,705.0,7.0,,35.0,0.0,0.0,0.0
Kellen Winslow,SDG,TE,30.0,120.9,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,3.0,,53.0,0.0,1.0,0.0
Wade Wilson,MIN,QB,28.0,164.54000000000002,12.0,7.0,2106.0,14.0,264.0,263.0,5.0,41.0,0.0,0.0,,0.0,13.0,3.0,0.0
Vance Johnson,DEN,WR,24.0,149.6,11.0,9.0,0.0,0.0,1.0,-8.0,0.0,1.0,684.0,7.0,,42.0,0.0,1.0,0.0
Mark Duper,MIA,WR,28.0,140.7,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,8.0,,33.0,0.0,0.0,0.0
Johnny Hector,NYJ,RB,27.0,162.4,11.0,6.0,0.0,0.0,0.0,435.0,11.0,111.0,249.0,0.0,,32.0,0.0,2.0,0.0
Mike Rozier,HOU,RB,26.0,149.9,11.0,11.0,0.0,0.0,0.0,957.0,3.0,229.0,192.0,0.0,,27.0,0.0,5.0,0.0
Andre Reed,BUF,WR,23.0,162.29999999999998,12.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,752.0,5.0,,57.0,0.0,0.0,0.0
Kevin Mack,CLE,RB,25.0,151.8,12.0,12.0,0.0,0.0,0.0,735.0,5.0,201.0,223.0,1.0,,32.0,0.0,6.0,0.0
Mickey Shuler,NYJ,TE,31.0,100.4,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,3.0,,43.0,0.0,2.0,0.0
Steve Jordan,MIN,TE,26.0,94.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,2.0,,35.0,0.0,1.0,0.0
Dalton Hilliard,NOR,RB,23.0,145.12,12.0,1.0,23.0,1.0,1.0,508.0,7.0,123.0,264.0,1.0,,23.0,0.0,4.0,0.0
Calvin Magee,TAM,TE,24.0,94.4,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,3.0,,34.0,0.0,0.0,0.0
Doug Cosbie,DAL,TE,31.0,95.6,12.0,12.0,0.0,0.0,0.0,-5.0,0.0,1.0,421.0,3.0,,36.0,0.0,0.0,0.0
Rueben Mayes,NOR,RB,24.0,127.5,12.0,12.0,0.0,0.0,0.0,917.0,5.0,243.0,68.0,0.0,,15.0,0.0,8.0,0.0
Chris Burkett,BUF,WR,25.0,154.5,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,4.0,,56.0,0.0,1.0,0.0
Roy Green,STL,WR,30.0,141.5,12.0,12.0,0.0,0.0,0.0,34.0,0.0,2.0,731.0,4.0,,43.0,0.0,1.0,0.0
Lionel James,SDG,WR,25.0,128.5,12.0,11.0,0.0,0.0,0.0,102.0,2.0,27.0,593.0,3.0,,41.0,0.0,6.0,0.0
Kelvin Bryant,WAS,RB,27.0,160.6,11.0,1.0,0.0,0.0,1.0,406.0,1.0,77.0,490.0,5.0,,43.0,0.0,4.0,0.0
Henry Ellard,RAM,WR,26.0,143.3,12.0,12.0,0.0,0.0,0.0,4.0,0.0,1.0,799.0,3.0,,51.0,0.0,3.0,0.0
