Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
O.J. Simpson,BUF,RB,26.0,271.18,14.0,14.0,-3.0,0.0,2.0,2003.0,12.0,332.0,70.0,0.0,,6.0,0.0,7.0,0.0
Harold Carmichael,PHI,WR,24.0,230.79999999999998,14.0,14.0,0.0,0.0,0.0,42.0,0.0,3.0,1116.0,9.0,,67.0,0.0,3.0,0.0
Harold Jackson,RAM,WR,27.0,204.6,14.0,14.0,0.0,0.0,0.0,-8.0,0.0,2.0,874.0,13.0,,40.0,0.0,0.0,0.0
Floyd Little,DEN,RB,31.0,253.2,14.0,13.0,0.0,0.0,0.0,979.0,12.0,256.0,423.0,1.0,,41.0,0.0,3.0,0.0
Larry Brown,WAS,RB,26.0,244.2,14.0,14.0,0.0,0.0,0.0,860.0,8.0,273.0,482.0,6.0,,40.0,0.0,7.0,0.0
John Gilliam,MIN,WR,28.0,191.79999999999998,14.0,14.0,0.0,0.0,0.0,71.0,1.0,5.0,907.0,8.0,,42.0,0.0,1.0,0.0
Roman Gabriel,PHI,QB,33.0,183.76,14.0,14.0,3219.0,23.0,460.0,10.0,1.0,12.0,0.0,0.0,,0.0,12.0,10.0,0.0
Roger Staubach,DAL,QB,31.0,192.12,14.0,14.0,2428.0,23.0,286.0,250.0,3.0,46.0,0.0,0.0,,0.0,15.0,5.0,0.0
Isaac Curtis,CIN,WR,23.0,182.20000000000002,14.0,14.0,0.0,0.0,0.0,-11.0,0.0,2.0,843.0,9.0,,45.0,0.0,0.0,0.0
Charle Young,PHI,TE,22.0,184.8,14.0,14.0,0.0,0.0,0.0,24.0,1.0,4.0,854.0,6.0,,55.0,0.0,0.0,0.0
Ron Shanklin,PIT,WR,25.0,159.2,13.0,13.0,0.0,0.0,0.0,1.0,0.0,3.0,711.0,10.0,,30.0,0.0,1.0,0.0
Donny Anderson,STL,RB,30.0,213.8,14.0,13.0,0.0,0.0,0.0,679.0,10.0,167.0,409.0,3.0,,41.0,0.0,7.0,0.0
Charley Taylor,WAS,WR,32.0,178.4,14.0,14.0,0.0,0.0,0.0,-7.0,0.0,1.0,801.0,7.0,,59.0,0.0,1.0,0.0
Paul Warfield,MIA,WR,31.0,145.9,14.0,14.0,0.0,0.0,0.0,15.0,0.0,1.0,514.0,11.0,,29.0,0.0,1.0,0.0
Ron Johnson,NYG,RB,26.0,205.9,12.0,11.0,0.0,0.0,0.0,902.0,6.0,260.0,377.0,3.0,,32.0,0.0,4.0,0.0
Boobie Clark,CIN,RB,23.0,210.5,14.0,14.0,0.0,0.0,0.0,988.0,8.0,254.0,347.0,0.0,,45.0,0.0,8.0,0.0
