Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Paul Warfield,MIA,WR,29.0,214.1,14.0,14.0,0.0,0.0,0.0,115.0,0.0,9.0,996.0,11.0,,43.0,0.0,3.0,0.0
Greg Landry,DET,QB,25.0,188.48000000000002,14.0,14.0,2237.0,16.0,261.0,530.0,3.0,76.0,0.0,0.0,,0.0,13.0,5.0,0.0
Otis Taylor,KAN,WR,29.0,218.5,14.0,14.0,0.0,0.0,0.0,25.0,1.0,1.0,1110.0,7.0,,57.0,0.0,0.0,0.0
Steve Owens,DET,RB,24.0,220.5,14.0,13.0,0.0,0.0,0.0,1035.0,8.0,246.0,350.0,2.0,,32.0,0.0,5.0,0.0
Fred Biletnikoff,OAK,WR,28.0,205.9,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,929.0,9.0,,61.0,0.0,1.0,0.0
Roger Staubach,DAL,QB,29.0,161.57999999999998,13.0,10.0,1882.0,15.0,211.0,343.0,2.0,41.0,0.0,0.0,,0.0,4.0,6.0,0.0
Randy Vataha,NWE,WR,23.0,192.2,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0,9.0,,51.0,0.0,0.0,0.0
John Hadl,SDG,QB,31.0,162.5,14.0,14.0,3075.0,21.0,431.0,75.0,1.0,18.0,0.0,0.0,,0.0,25.0,4.0,0.0
Leroy Kelly,CLE,RB,29.0,195.62,14.0,14.0,23.0,0.0,4.0,865.0,10.0,234.0,252.0,2.0,,25.0,0.0,7.0,0.0
Bob Hayes,DAL,WR,29.0,168.8,14.0,13.0,0.0,0.0,0.0,18.0,0.0,3.0,840.0,8.0,,35.0,0.0,0.0,0.0
Floyd Little,DEN,RB,29.0,192.8,14.0,13.0,0.0,0.0,1.0,1133.0,6.0,284.0,255.0,0.0,,26.0,0.0,4.0,0.0
Gary Garrison,SDG,WR,27.0,166.9,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,889.0,6.0,,42.0,0.0,0.0,0.0
Bob Grim,MIN,WR,26.0,168.79999999999998,14.0,14.0,0.0,0.0,1.0,127.0,0.0,6.0,691.0,7.0,,45.0,0.0,0.0,0.0
Duane Thomas,DAL,RB,24.0,179.6,11.0,10.0,0.0,0.0,1.0,793.0,11.0,175.0,153.0,2.0,,13.0,0.0,3.0,0.0
Roman Gabriel,RAM,QB,31.0,136.32,14.0,14.0,2238.0,17.0,352.0,48.0,2.0,18.0,0.0,0.0,,0.0,10.0,9.0,0.0
Bob Tucker,NYG,TE,26.0,156.2,12.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,791.0,4.0,,59.0,0.0,3.0,0.0
Terry Bradshaw,PIT,QB,23.0,139.06,14.0,13.0,2259.0,13.0,373.0,247.0,5.0,53.0,0.0,0.0,,0.0,22.0,7.0,0.0
Ted Kwalick,SFO,TE,24.0,150.6,14.0,14.0,0.0,0.0,0.0,62.0,0.0,6.0,664.0,5.0,,52.0,0.0,2.0,0.0
John Brodie,SFO,QB,36.0,146.18,14.0,14.0,2642.0,18.0,387.0,45.0,3.0,14.0,0.0,0.0,,0.0,24.0,3.0,0.0
Jim Plunkett,NWE,QB,24.0,139.32,14.0,14.0,2158.0,19.0,328.0,210.0,0.0,45.0,0.0,0.0,,0.0,16.0,6.0,0.0
Bob Griese,MIA,QB,26.0,131.76,14.0,13.0,2089.0,19.0,263.0,82.0,0.0,26.0,0.0,0.0,,0.0,9.0,9.0,0.0
Larry Csonka,MIA,RB,25.0,177.4,14.0,14.0,0.0,0.0,0.0,1051.0,7.0,195.0,113.0,1.0,,13.0,0.0,0.0,0.0
Gene Washington,SFO,WR,24.0,158.4,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,4.0,,46.0,0.0,0.0,0.0
Jim Mitchell,ATL,TE,24.0,118.8,13.0,13.0,0.0,0.0,0.0,25.0,0.0,4.0,593.0,5.0,,33.0,0.0,3.0,0.0
Ken Burrow,ATL,WR,23.0,141.6,14.0,14.0,0.0,0.0,0.0,5.0,0.0,1.0,741.0,6.0,,33.0,0.0,1.0,0.0
Charlie Joiner,HOU,WR,24.0,139.1,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0,7.0,,31.0,0.0,1.0,0.0
Norm Bulaich,BAL,RB,25.0,174.0,13.0,12.0,0.0,0.0,0.0,741.0,8.0,152.0,229.0,2.0,,25.0,0.0,4.0,0.0
Raymond Chester,OAK,TE,23.0,114.7,14.0,14.0,0.0,0.0,0.0,5.0,0.0,3.0,442.0,7.0,,28.0,0.0,0.0,0.0
Dave Parks,NOR,TE,30.0,121.6,14.0,13.0,0.0,0.0,0.0,-2.0,0.0,2.0,568.0,5.0,,35.0,0.0,0.0,0.0
Vic Washington,SFO,RB,25.0,170.8,14.0,13.0,0.0,0.0,0.0,811.0,3.0,191.0,317.0,4.0,,36.0,0.0,10.0,0.0
Len Dawson,KAN,QB,36.0,120.56,14.0,13.0,2504.0,15.0,301.0,24.0,0.0,12.0,0.0,0.0,,0.0,13.0,8.0,0.0
George Farmer,CHI,WR,23.0,148.79999999999998,14.0,14.0,0.0,0.0,0.0,11.0,0.0,1.0,737.0,5.0,,46.0,0.0,1.0,0.0
John Gilliam,STL,WR,26.0,141.29999999999998,14.0,14.0,0.0,0.0,0.0,16.0,0.0,2.0,837.0,3.0,,42.0,0.0,2.0,0.0
Fran Tarkenton,NYG,QB,31.0,125.78,13.0,13.0,2567.0,11.0,386.0,111.0,3.0,30.0,0.0,0.0,,0.0,21.0,4.0,0.0
Ed Podolak,KAN,RB,24.0,177.68,13.0,11.0,42.0,0.0,2.0,708.0,9.0,184.0,252.0,0.0,,36.0,0.0,5.0,0.0
Ron Shanklin,PIT,WR,23.0,148.29999999999998,14.0,14.0,0.0,0.0,0.0,1.0,0.0,2.0,652.0,6.0,,49.0,0.0,1.0,0.0
John Brockington,GNB,RB,23.0,156.3,14.0,14.0,0.0,0.0,0.0,1105.0,4.0,216.0,98.0,1.0,,14.0,0.0,4.0,0.0
Lance Rentzel,RAM,WR,28.0,134.70000000000002,14.0,14.0,0.0,0.0,0.0,113.0,1.0,14.0,534.0,5.0,,38.0,0.0,2.0,0.0
Charlie Sanders,DET,TE,25.0,111.2,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,5.0,,31.0,0.0,0.0,0.0
Larry Brown,WAS,RB,24.0,152.4,13.0,13.0,0.0,0.0,0.0,948.0,4.0,253.0,176.0,2.0,,16.0,0.0,6.0,0.0
Willie Ellison,RAM,RB,26.0,163.8,14.0,13.0,0.0,0.0,0.0,1000.0,4.0,211.0,238.0,0.0,,32.0,0.0,8.0,0.0
Donny Anderson,GNB,RB,28.0,160.66000000000003,14.0,13.0,9.0,1.0,4.0,757.0,5.0,186.0,306.0,1.0,,26.0,0.0,6.0,0.0
Billy Kilmer,WAS,QB,32.0,123.34,14.0,13.0,2221.0,13.0,306.0,5.0,2.0,17.0,0.0,0.0,,0.0,13.0,2.0,0.0
Danny Abramowicz,NOR,WR,26.0,130.7,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,657.0,5.0,,37.0,0.0,1.0,0.0
Jack Snow,RAM,WR,28.0,132.6,14.0,14.0,0.0,0.0,0.0,-10.0,0.0,1.0,666.0,5.0,,37.0,0.0,0.0,0.0
Roy Jefferson,WAS,WR,28.0,142.4,14.0,14.0,0.0,0.0,0.0,13.0,0.0,2.0,701.0,4.0,,47.0,0.0,0.0,0.0
Dave Smith,PIT,WR,24.0,140.3,14.0,14.0,0.0,0.0,0.0,-10.0,0.0,1.0,663.0,5.0,,47.0,0.0,1.0,0.0
Bo Scott,CLE,RB,28.0,165.9,14.0,14.0,0.0,0.0,0.0,606.0,9.0,179.0,233.0,1.0,,30.0,0.0,4.0,0.0
Harold Jackson,PHI,WR,25.0,138.7,14.0,12.0,0.0,0.0,0.0,41.0,0.0,5.0,716.0,3.0,,47.0,0.0,1.0,0.0
Billy Parks,SDG,WR,23.0,129.6,10.0,10.0,0.0,0.0,0.0,77.0,0.0,5.0,609.0,4.0,,41.0,0.0,2.0,0.0
Marlin Briscoe,BUF,WR,26.0,135.74,14.0,14.0,36.0,0.0,2.0,0.0,0.0,0.0,603.0,5.0,,44.0,0.0,0.0,0.0
Dick Gordon,CHI,WR,27.0,134.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,5.0,,43.0,0.0,0.0,0.0
Bob Trumpy,CIN,TE,26.0,111.1,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,3.0,,40.0,0.0,0.0,0.0
Marv Hubbard,OAK,RB,25.0,153.4,14.0,11.0,0.0,0.0,0.0,867.0,5.0,181.0,167.0,1.0,,22.0,0.0,4.0,0.0
Ben Hawkins,PHI,WR,27.0,124.8,14.0,12.0,0.0,0.0,0.0,8.0,0.0,4.0,650.0,4.0,,37.0,0.0,1.0,0.0
Rich McGeorge,GNB,TE,23.0,97.3,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,4.0,,27.0,0.0,0.0,0.0
Milt Morin,CLE,TE,29.0,106.19999999999999,14.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,581.0,2.0,,40.0,0.0,2.0,0.0
Ken Willard,SFO,RB,28.0,146.7,14.0,14.0,0.0,0.0,0.0,855.0,4.0,216.0,202.0,1.0,,27.0,0.0,8.0,0.0
Calvin Hill,DAL,RB,24.0,150.2,8.0,7.0,0.0,0.0,1.0,468.0,8.0,106.0,244.0,3.0,,19.0,1.0,2.0,0.0
John Fuqua,PIT,RB,25.0,176.2,12.0,12.0,0.0,0.0,0.0,625.0,4.0,155.0,427.0,1.0,,49.0,0.0,4.0,0.0
Carroll Dale,GNB,WR,33.0,114.8,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,4.0,,31.0,0.0,0.0,0.0
Tom Matte,BAL,RB,32.0,153.6,14.0,14.0,0.0,0.0,1.0,607.0,8.0,173.0,239.0,0.0,,29.0,0.0,4.0,0.0
Mel Gray,STL,WR,23.0,99.0,14.0,5.0,0.0,0.0,0.0,56.0,0.0,2.0,534.0,4.0,,18.0,0.0,1.0,0.0
Rich Caster,NYJ,WR,23.0,108.4,14.0,14.0,0.0,0.0,0.0,10.0,0.0,2.0,454.0,6.0,,26.0,0.0,0.0,0.0
Mike Garrett,SDG,RB,27.0,160.52,13.0,11.0,53.0,0.0,1.0,591.0,4.0,140.0,283.0,3.0,,41.0,0.0,6.0,0.0
Jackie Smith,STL,TE,31.0,83.9,9.0,9.0,0.0,0.0,0.0,10.0,0.0,1.0,379.0,4.0,,21.0,0.0,0.0,0.0
Altie Taylor,DET,RB,24.0,134.6,14.0,14.0,0.0,0.0,0.0,736.0,4.0,174.0,270.0,1.0,,26.0,0.0,11.0,0.0
Art Malone,ATL,RB,23.0,153.8,13.0,13.0,0.0,0.0,0.0,438.0,6.0,120.0,380.0,2.0,,34.0,0.0,5.0,0.0
