Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Eric Dickerson,RAM,RB,24.0,299.4,16.0,16.0,0.0,0.0,1.0,2105.0,14.0,379.0,139.0,0.0,,21.0,1.0,14.0,0.0
Dan Marino,MIA,QB,23.0,348.66,16.0,16.0,5084.0,48.0,564.0,-7.0,0.0,28.0,0.0,0.0,,0.0,17.0,6.0,0.0
James Wilder,TAM,RB,26.0,370.53999999999996,16.0,16.0,16.0,1.0,1.0,1544.0,13.0,407.0,685.0,0.0,,85.0,0.0,10.0,0.0
Marcus Allen,RAI,RB,24.0,350.12,16.0,16.0,38.0,0.0,4.0,1168.0,13.0,275.0,758.0,5.0,,64.0,0.0,8.0,0.0
Walter Payton,CHI,RB,30.0,314.08,16.0,16.0,47.0,2.0,8.0,1684.0,11.0,381.0,368.0,0.0,,45.0,1.0,5.0,0.0
Mark Clayton,MIA,WR,23.0,317.4,15.0,15.0,0.0,0.0,1.0,35.0,0.0,3.0,1389.0,18.0,,73.0,1.0,2.0,0.0
Gerald Riggs,ATL,RB,24.0,274.3,15.0,14.0,0.0,0.0,0.0,1486.0,13.0,353.0,277.0,0.0,,42.0,0.0,11.0,0.0
Roy Green,STL,WR,27.0,302.5,16.0,16.0,0.0,0.0,0.0,-10.0,0.0,1.0,1555.0,12.0,,78.0,0.0,1.0,0.0
Neil Lomax,STL,QB,25.0,278.96,16.0,16.0,4614.0,28.0,560.0,184.0,3.0,35.0,0.0,0.0,,0.0,16.0,11.0,0.0
John Stallworth,PIT,WR,32.0,283.5,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.0,11.0,,80.0,0.0,1.0,0.0
Ottis Anderson,STL,RB,27.0,280.5,15.0,15.0,0.0,0.0,0.0,1174.0,6.0,289.0,611.0,2.0,,70.0,0.0,8.0,0.0
Steve Largent,SEA,WR,30.0,261.4,16.0,16.0,0.0,0.0,0.0,10.0,0.0,2.0,1164.0,12.0,,74.0,0.0,1.0,0.0
John Riggins,WAS,RB,35.0,205.20000000000002,14.0,14.0,0.0,0.0,0.0,1239.0,14.0,327.0,43.0,0.0,,7.0,0.0,7.0,0.0
James Lofton,GNB,WR,28.0,246.29999999999998,16.0,16.0,0.0,0.0,0.0,82.0,0.0,10.0,1361.0,7.0,,62.0,0.0,1.0,0.0
Dave Krieg,SEA,QB,26.0,241.44000000000005,16.0,16.0,3671.0,32.0,480.0,186.0,3.0,46.0,0.0,0.0,,0.0,24.0,11.0,0.0
Joe Montana,SFO,QB,28.0,253.0,16.0,15.0,3630.0,28.0,432.0,118.0,2.0,39.0,0.0,0.0,,0.0,10.0,4.0,0.0
Tony Dorsett,DAL,RB,30.0,231.8,16.0,16.0,0.0,0.0,1.0,1189.0,6.0,302.0,459.0,1.0,,51.0,1.0,12.0,0.0
Art Monk,WAS,WR,27.0,285.0,16.0,16.0,0.0,0.0,0.0,18.0,0.0,2.0,1372.0,7.0,,106.0,0.0,1.0,0.0
Wendell Tyler,SFO,RB,29.0,205.2,16.0,15.0,0.0,0.0,0.0,1262.0,7.0,246.0,230.0,2.0,,28.0,0.0,13.0,0.0
Mark Duper,MIA,WR,25.0,249.6,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1306.0,8.0,,71.0,0.0,0.0,0.0
Tony Eason,NWE,QB,25.0,236.52,16.0,13.0,3228.0,23.0,431.0,154.0,5.0,40.0,0.0,0.0,,0.0,8.0,7.0,0.0
Earnest Jackson,SDG,RB,25.0,227.10000000000002,16.0,14.0,0.0,0.0,0.0,1179.0,8.0,296.0,222.0,1.0,,39.0,0.0,3.0,0.0
Roger Craig,SFO,RB,24.0,257.4,16.0,16.0,0.0,0.0,0.0,649.0,7.0,155.0,675.0,3.0,,71.0,0.0,3.0,0.0
