Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Billy Sims,DET,RB,26.0,288.79999999999995,14.0,14.0,0.0,0.0,0.0,1437.0,13.0,296.0,451.0,2.0,,28.0,0.0,9.0,0.0
William Andrews,ATL,RB,26.0,332.6,16.0,16.0,0.0,0.0,0.0,1301.0,10.0,289.0,735.0,2.0,,81.0,0.0,12.0,0.0
Chuck Muncie,SDG,RB,28.0,293.72,15.0,14.0,3.0,1.0,1.0,1144.0,19.0,251.0,362.0,0.0,,43.0,0.0,9.0,0.0
Alfred Jenkins,ATL,WR,29.0,277.8,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.0,13.0,,70.0,0.0,3.0,0.0
George Rogers,NOR,RB,23.0,248.0,16.0,16.0,0.0,0.0,0.0,1674.0,13.0,378.0,126.0,0.0,,16.0,0.0,13.0,0.0
Wendell Tyler,RAM,RB,26.0,276.0,15.0,15.0,0.0,0.0,0.0,1074.0,12.0,260.0,436.0,5.0,,45.0,0.0,11.0,0.0
Wilbert Montgomery,PHI,RB,27.0,289.29999999999995,15.0,15.0,0.0,0.0,0.0,1402.0,8.0,286.0,521.0,2.0,,49.0,0.0,6.0,0.0
Steve Watson,DEN,WR,24.0,263.0,16.0,13.0,0.0,0.0,0.0,6.0,0.0,2.0,1244.0,13.0,,60.0,0.0,0.0,0.0
Dan Fouts,SDG,QB,30.0,277.68000000000006,16.0,16.0,4802.0,33.0,609.0,56.0,0.0,22.0,0.0,0.0,,0.0,17.0,9.0,0.0
Kellen Winslow,SDG,TE,24.0,251.5,16.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,1075.0,10.0,,88.0,0.0,2.0,0.0
Steve Largent,SEA,WR,27.0,258.1,16.0,16.0,0.0,0.0,1.0,47.0,1.0,6.0,1224.0,9.0,,75.0,0.0,2.0,0.0
Ken Anderson,CIN,QB,32.0,274.15999999999997,16.0,16.0,3754.0,29.0,479.0,320.0,1.0,46.0,0.0,0.0,,0.0,10.0,5.0,0.0
Pete Johnson,CIN,RB,27.0,273.7,16.0,16.0,0.0,0.0,0.0,1077.0,12.0,274.0,320.0,4.0,,46.0,0.0,4.0,0.0
Joe Cribbs,BUF,RB,23.0,250.36,15.0,15.0,9.0,1.0,1.0,1097.0,3.0,257.0,603.0,7.0,,40.0,0.0,12.0,0.0
Tony Dorsett,DAL,RB,27.0,245.10000000000002,16.0,16.0,0.0,0.0,0.0,1646.0,4.0,342.0,325.0,2.0,,32.0,0.0,10.0,0.0
Ottis Anderson,STL,RB,24.0,255.3,16.0,16.0,0.0,0.0,0.0,1376.0,9.0,328.0,387.0,0.0,,51.0,0.0,13.0,0.0
James Lofton,GNB,WR,25.0,248.4,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.0,8.0,,71.0,0.0,0.0,0.0
Ted Brown,MIN,RB,24.0,298.7,16.0,16.0,0.0,0.0,1.0,1063.0,6.0,274.0,694.0,2.0,,83.0,1.0,3.0,0.0
Kevin House,TAM,WR,24.0,224.5,16.0,16.0,0.0,0.0,1.0,9.0,0.0,2.0,1176.0,9.0,,56.0,0.0,2.0,0.0
Joe Senser,MIN,TE,25.0,221.6,16.0,16.0,0.0,0.0,0.0,2.0,0.0,1.0,1004.0,8.0,,79.0,0.0,3.0,0.0
Earl Campbell,HOU,RB,26.0,229.2,16.0,16.0,0.0,0.0,0.0,1376.0,10.0,361.0,156.0,0.0,,36.0,0.0,10.0,0.0
Charlie Joiner,SDG,WR,34.0,226.8,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,7.0,,70.0,0.0,2.0,0.0
Ozzie Newsome,CLE,TE,25.0,207.2,16.0,16.0,0.0,0.0,0.0,20.0,0.0,2.0,1002.0,6.0,,69.0,0.0,0.0,0.0
Walter Payton,CHI,RB,27.0,231.10000000000002,16.0,16.0,0.0,0.0,2.0,1222.0,6.0,339.0,379.0,2.0,,41.0,0.0,9.0,0.0
Mike Pruitt,CLE,RB,27.0,255.5,16.0,16.0,0.0,0.0,0.0,1103.0,7.0,247.0,442.0,1.0,,63.0,0.0,5.0,0.0
Freddie Solomon,SFO,WR,28.0,203.20000000000002,15.0,15.0,25.0,0.0,1.0,43.0,0.0,9.0,969.0,8.0,,59.0,0.0,3.0,0.0
Wes Chandler,2TM,WR,25.0,217.1,16.0,15.0,0.0,0.0,2.0,-1.0,0.0,5.0,1142.0,6.0,,69.0,0.0,1.0,0.0
Cris Collinsworth,CIN,WR,22.0,209.9,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,8.0,,67.0,0.0,3.0,0.0
Frank Lewis,BUF,WR,34.0,216.4,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.0,4.0,,70.0,0.0,1.0,0.0
Dan Ross,CIN,TE,24.0,186.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,5.0,,71.0,0.0,3.0,0.0
Joe Washington,WAS,RB,28.0,244.67999999999995,14.0,13.0,32.0,0.0,2.0,916.0,4.0,210.0,558.0,3.0,,70.0,0.0,8.0,0.0
John Stallworth,PIT,WR,29.0,196.5,16.0,16.0,0.0,0.0,0.0,17.0,0.0,1.0,1098.0,5.0,,63.0,0.0,4.0,0.0
Stanley Morgan,NWE,WR,26.0,181.0,13.0,13.0,0.0,0.0,0.0,21.0,0.0,2.0,1029.0,6.0,,44.0,0.0,2.0,0.0
Harold Carmichael,PHI,WR,32.0,193.9,16.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,1028.0,6.0,,61.0,0.0,3.0,0.0
Don Hasselbeck,NWE,TE,26.0,158.8,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0,6.0,,46.0,0.0,2.0,0.0
Doug Williams,TAM,QB,26.0,217.42000000000002,16.0,16.0,3563.0,19.0,471.0,209.0,4.0,48.0,0.0,0.0,,0.0,14.0,9.0,0.0
Dwight Clark,SFO,WR,24.0,222.7,16.0,16.0,0.0,0.0,1.0,32.0,0.0,3.0,1105.0,4.0,,85.0,0.0,0.0,0.0
Ray Butler,BAL,WR,25.0,183.2,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,9.0,,46.0,0.0,0.0,0.0
Jimmie Giles,TAM,TE,27.0,159.6,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,6.0,,45.0,0.0,0.0,0.0
Freddie Scott,DET,WR,29.0,187.7,16.0,15.0,0.0,0.0,1.0,25.0,0.0,7.0,1022.0,5.0,,53.0,0.0,0.0,0.0
Jerry Butler,BUF,WR,24.0,183.29999999999998,16.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,842.0,8.0,,55.0,0.0,2.0,0.0
Wesley Walker,NYJ,WR,26.0,178.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,9.0,,47.0,0.0,0.0,0.0
Curtis Dickey,BAL,RB,25.0,200.8,15.0,15.0,0.0,0.0,0.0,779.0,7.0,164.0,419.0,3.0,,37.0,0.0,8.0,0.0
Ahmad Rashad,MIN,WR,32.0,186.4,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,7.0,,58.0,0.0,1.0,0.0
Steve Bartkowski,ATL,QB,29.0,219.35999999999996,16.0,16.0,3829.0,30.0,533.0,2.0,0.0,11.0,0.0,0.0,,0.0,23.0,4.0,0.0
Gerry Ellis,GNB,RB,24.0,233.82,16.0,16.0,23.0,0.0,2.0,860.0,4.0,196.0,499.0,3.0,,65.0,0.0,5.0,0.0
Franco Harris,PIT,RB,31.0,202.7,16.0,16.0,0.0,0.0,0.0,987.0,8.0,242.0,250.0,1.0,,37.0,0.0,6.0,0.0
Dave Casper,HOU,TE,29.0,138.2,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,8.0,,33.0,0.0,0.0,0.0
Art Monk,WAS,WR,24.0,180.9,16.0,16.0,0.0,0.0,0.0,-5.0,0.0,1.0,894.0,6.0,,56.0,0.0,0.0,0.0
