Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Marcus Allen,RAI,RB,22.0,223.68,9.0,9.0,47.0,0.0,4.0,697.0,11.0,160.0,401.0,3.0,,38.0,0.0,5.0,0.0
Wes Chandler,SDG,WR,26.0,209.39999999999998,8.0,8.0,0.0,0.0,0.0,32.0,0.0,5.0,1032.0,9.0,,49.0,0.0,0.0,0.0
Wendell Tyler,RAM,RB,27.0,189.9,9.0,9.0,0.0,0.0,0.0,564.0,9.0,137.0,375.0,4.0,,38.0,0.0,10.0,0.0
William Andrews,ATL,RB,27.0,189.6,9.0,9.0,0.0,0.0,0.0,573.0,5.0,139.0,503.0,2.0,,42.0,0.0,1.0,0.0
Dwight Clark,SFO,WR,25.0,179.3,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,5.0,,60.0,0.0,1.0,0.0
Kellen Winslow,SDG,TE,25.0,160.1,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,721.0,6.0,,54.0,0.0,1.0,0.0
Charlie Brown,WAS,WR,24.0,147.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,8.0,,32.0,0.0,1.0,0.0
Chuck Muncie,SDG,RB,29.0,159.92,9.0,9.0,83.0,2.0,3.0,569.0,8.0,138.0,207.0,1.0,,25.0,0.0,4.0,0.0
Joe Montana,SFO,QB,26.0,160.32,9.0,9.0,2613.0,17.0,346.0,118.0,1.0,30.0,0.0,0.0,,0.0,11.0,4.0,0.0
Dan Fouts,SDG,QB,31.0,164.12,9.0,9.0,2883.0,17.0,330.0,8.0,1.0,9.0,0.0,0.0,,0.0,11.0,2.0,0.0
Freeman McNeil,NYJ,RB,23.0,141.3,9.0,9.0,0.0,0.0,0.0,786.0,6.0,151.0,187.0,1.0,,16.0,0.0,7.0,0.0
James Lofton,GNB,WR,26.0,146.42,9.0,9.0,43.0,0.0,1.0,101.0,1.0,4.0,696.0,4.0,,35.0,0.0,0.0,0.0
Ken Anderson,CIN,QB,33.0,160.3,9.0,9.0,2495.0,12.0,309.0,85.0,4.0,25.0,0.0,0.0,,0.0,9.0,1.0,0.0
Dave Casper,HOU,TE,30.0,128.20000000000002,9.0,9.0,0.0,0.0,0.0,9.0,0.0,2.0,573.0,6.0,,36.0,0.0,1.0,0.0
Wilbert Montgomery,PHI,RB,28.0,145.3,8.0,8.0,0.0,0.0,0.0,515.0,7.0,114.0,258.0,2.0,,20.0,0.0,3.0,0.0
Pete Johnson,CIN,RB,28.0,159.9,9.0,9.0,0.0,0.0,0.0,622.0,7.0,156.0,267.0,0.0,,31.0,0.0,1.0,0.0
Wesley Walker,NYJ,WR,27.0,137.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,6.0,,39.0,0.0,0.0,0.0
