Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Ron Johnson,NYG,RB,25.0,286.3,14.0,14.0,0.0,0.0,1.0,1182.0,9.0,298.0,451.0,5.0,,45.0,0.0,3.0,0.0
Larry Brown,WAS,RB,25.0,254.89999999999998,12.0,12.0,0.0,0.0,0.0,1216.0,8.0,285.0,473.0,4.0,,32.0,0.0,9.0,0.0
Greg Landry,DET,QB,26.0,221.04,14.0,14.0,2066.0,18.0,268.0,524.0,9.0,81.0,0.0,0.0,,0.0,17.0,3.0,0.0
Gene Washington,SFO,WR,25.0,209.8,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,918.0,12.0,,46.0,0.0,0.0,0.0
Rich Caster,NYJ,TE,24.0,182.9,14.0,13.0,0.0,0.0,0.0,6.0,0.0,2.0,833.0,10.0,,39.0,0.0,0.0,0.0
Bobby Douglass,CHI,QB,25.0,188.64,14.0,14.0,1246.0,9.0,198.0,968.0,8.0,141.0,0.0,0.0,,0.0,12.0,9.0,0.0
John Gilliam,MIN,WR,27.0,189.9,14.0,14.0,0.0,0.0,0.0,14.0,0.0,8.0,1035.0,7.0,,47.0,0.0,2.0,0.0
Floyd Little,DEN,RB,30.0,226.32,14.0,14.0,43.0,1.0,2.0,859.0,9.0,216.0,367.0,4.0,,28.0,0.0,4.0,0.0
Ted Kwalick,SFO,TE,25.0,166.2,14.0,14.0,0.0,0.0,0.0,11.0,0.0,5.0,751.0,9.0,,40.0,0.0,2.0,0.0
Calvin Hill,DAL,RB,25.0,229.2,14.0,14.0,55.0,1.0,3.0,1036.0,6.0,245.0,364.0,3.0,,43.0,0.0,7.0,0.0
Art Malone,ATL,RB,24.0,228.3,14.0,14.0,0.0,0.0,0.0,798.0,8.0,180.0,585.0,2.0,,50.0,0.0,10.0,0.0
Harold Jackson,PHI,WR,26.0,194.4,14.0,14.0,0.0,0.0,0.0,76.0,0.0,9.0,1048.0,4.0,,62.0,0.0,2.0,0.0
Archie Manning,NOR,QB,23.0,170.34,14.0,14.0,2781.0,18.0,448.0,351.0,2.0,63.0,0.0,0.0,,0.0,21.0,9.0,0.0
Franco Harris,PIT,RB,22.0,196.5,14.0,10.0,0.0,0.0,0.0,1055.0,10.0,188.0,180.0,1.0,,21.0,0.0,7.0,0.0
O.J. Simpson,BUF,RB,25.0,200.42,14.0,14.0,113.0,1.0,8.0,1251.0,6.0,292.0,198.0,0.0,,27.0,0.0,8.0,0.0
Mercury Morris,MIA,RB,25.0,187.8,14.0,11.0,0.0,0.0,0.0,1000.0,12.0,190.0,168.0,0.0,,15.0,0.0,8.0,0.0
Fred Biletnikoff+,OAK,WR,29.0,180.2,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,802.0,7.0,,58.0,0.0,0.0,0.0
John Brockington,GNB,RB,24.0,192.0,14.0,14.0,0.0,0.0,0.0,1027.0,8.0,274.0,243.0,1.0,,19.0,0.0,4.0,0.0
Otis Taylor,KAN,WR,30.0,172.4,14.0,12.0,0.0,0.0,0.0,13.0,0.0,5.0,821.0,6.0,,57.0,0.0,2.0,0.0
Terry Bradshaw,PIT,QB,24.0,168.08,14.0,14.0,1887.0,12.0,308.0,346.0,7.0,58.0,0.0,0.0,,0.0,12.0,4.0,0.0
Bob Tucker,NYG,TE,27.0,154.0,14.0,14.0,0.0,0.0,0.0,6.0,1.0,3.0,764.0,4.0,,55.0,0.0,4.0,0.0
Walt Garrison,DAL,RB,28.0,202.4,14.0,14.0,0.0,0.0,0.0,784.0,7.0,167.0,390.0,3.0,,37.0,0.0,6.0,0.0
Raymond Chester,OAK,TE,24.0,139.9,13.0,11.0,0.0,0.0,0.0,3.0,0.0,1.0,576.0,8.0,,34.0,0.0,0.0,0.0
Gary Garrison,SDG,WR,28.0,167.8,14.0,13.0,0.0,0.0,0.0,-6.0,0.0,2.0,744.0,7.0,,52.0,0.0,0.0,0.0
Charley Taylor,WAS,WR,31.0,160.20000000000002,14.0,14.0,0.0,0.0,0.0,39.0,0.0,3.0,673.0,7.0,,49.0,0.0,1.0,0.0
Frank Pitts,CLE,WR,29.0,148.9,14.0,13.0,0.0,0.0,0.0,29.0,0.0,3.0,620.0,8.0,,36.0,0.0,0.0,0.0
Fran Tarkenton,MIN,QB,32.0,164.04000000000002,14.0,14.0,2651.0,18.0,378.0,180.0,0.0,27.0,0.0,0.0,,0.0,13.0,3.0,0.0
Mike Garrett,SDG,RB,28.0,184.6,14.0,14.0,0.0,0.0,1.0,1031.0,6.0,272.0,245.0,1.0,,31.0,0.0,8.0,0.0
Danny Abramowicz,NOR,WR,27.0,144.8,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,7.0,,38.0,0.0,1.0,0.0
J.D. Hill,BUF,WR,24.0,156.5,14.0,14.0,0.0,0.0,0.0,11.0,0.0,1.0,754.0,5.0,,52.0,0.0,1.0,0.0
Dave Hampton,ATL,RB,25.0,170.9,13.0,11.0,0.0,0.0,0.0,995.0,6.0,230.0,244.0,1.0,,23.0,0.0,9.0,0.0
Cid Edwards,SDG,RB,29.0,197.60000000000002,12.0,12.0,0.0,0.0,0.0,679.0,5.0,157.0,557.0,2.0,,40.0,0.0,4.0,0.0
John Riggins,NYJ,RB,23.0,182.4,12.0,11.0,0.0,0.0,0.0,944.0,7.0,207.0,230.0,1.0,,21.0,0.0,2.0,0.0
Charlie Smith,OAK,RB,26.0,187.89999999999998,14.0,13.0,0.0,0.0,0.0,686.0,8.0,170.0,353.0,2.0,,28.0,0.0,2.0,0.0
Dave Parks,NOR,TE,31.0,121.5,12.0,9.0,0.0,0.0,0.0,-7.0,0.0,1.0,542.0,6.0,,32.0,0.0,0.0,0.0
Essex Johnson,CIN,RB,26.0,181.5,14.0,11.0,0.0,0.0,0.0,825.0,4.0,212.0,420.0,2.0,,29.0,0.0,4.0,0.0
Sam Havrilak,BAL,WR,25.0,133.3,14.0,14.0,0.0,0.0,1.0,72.0,2.0,12.0,571.0,4.0,,33.0,0.0,0.0,0.0
Mike Phipps,CLE,QB,25.0,139.35999999999999,14.0,13.0,1994.0,13.0,305.0,256.0,5.0,60.0,0.0,0.0,,0.0,16.0,8.0,0.0
Chip Myers,CIN,WR,27.0,154.2,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,3.0,,57.0,0.0,0.0,0.0
Ron Sellers,DAL,WR,25.0,124.3,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,5.0,,31.0,0.0,1.0,0.0
Emerson Boozer,NYJ,RB,29.0,158.1,11.0,10.0,0.0,0.0,0.0,549.0,11.0,120.0,142.0,3.0,,11.0,0.0,3.0,0.0
Larry Csonka,MIA,RB,26.0,153.5,14.0,14.0,0.0,0.0,0.0,1117.0,6.0,213.0,48.0,0.0,,5.0,0.0,2.0,0.0
Joe Namath,NYJ,QB,29.0,141.44,13.0,13.0,2816.0,19.0,324.0,8.0,0.0,6.0,0.0,0.0,,0.0,21.0,3.0,0.0
Jerry Smith,WAS,TE,29.0,99.2,14.0,14.0,0.0,0.0,0.0,9.0,0.0,1.0,353.0,7.0,,21.0,0.0,0.0,0.0
Reggie Rucker,NWE,WR,25.0,126.6,14.0,14.0,0.0,0.0,0.0,5.0,0.0,3.0,681.0,3.0,,44.0,0.0,2.0,0.0
Bob Chandler,BUF,WR,23.0,116.5,14.0,14.0,0.0,0.0,0.0,27.0,0.0,3.0,528.0,5.0,,33.0,0.0,1.0,0.0
Tom Mitchell,BAL,TE,28.0,112.10000000000001,14.0,14.0,0.0,0.0,0.0,7.0,0.0,0.0,494.0,4.0,,40.0,0.0,1.0,0.0
Ron Shanklin,PIT,WR,24.0,122.9,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,669.0,3.0,,38.0,0.0,0.0,0.0
Larry Walton,DET,WR,25.0,104.5,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,6.0,,24.0,0.0,2.0,0.0
Rod Sherman,DEN,WR,28.0,120.3,14.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,661.0,3.0,,38.0,0.0,1.0,0.0
Marv Hubbard,OAK,RB,26.0,156.3,14.0,14.0,0.0,0.0,0.0,1100.0,4.0,219.0,103.0,0.0,,22.0,0.0,5.0,0.0
Jim Mitchell,ATL,TE,25.0,100.9,14.0,14.0,0.0,0.0,0.0,19.0,0.0,2.0,470.0,4.0,,28.0,0.0,0.0,0.0
Jack Snow,RAM,WR,29.0,113.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,4.0,,30.0,0.0,0.0,0.0
Norm Snead,NYG,QB,33.0,130.38,14.0,13.0,2307.0,17.0,325.0,21.0,0.0,10.0,0.0,0.0,,0.0,12.0,4.0,0.0
Paul Warfield,MIA,WR,30.0,107.89999999999999,12.0,11.0,0.0,0.0,0.0,23.0,0.0,4.0,606.0,3.0,,29.0,0.0,1.0,0.0
Mike Siani,OAK,WR,22.0,105.6,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,5.0,,28.0,0.0,1.0,0.0
Ken Burrow,ATL,WR,24.0,106.5,14.0,14.0,0.0,0.0,0.0,3.0,0.0,3.0,492.0,5.0,,29.0,0.0,1.0,0.0
Bob Berry,ATL,QB,30.0,121.01999999999998,14.0,14.0,2158.0,13.0,277.0,86.0,2.0,24.0,-9.0,0.0,,1.0,12.0,7.0,0.0
Ken Burrough,HOU,WR,24.0,102.1,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,4.0,,26.0,0.0,0.0,0.0
Frank Lewis,PIT,WR,25.0,100.89999999999999,13.0,8.0,0.0,0.0,0.0,68.0,0.0,3.0,391.0,5.0,,27.0,0.0,1.0,0.0
Eddie Bell,NYJ,WR,26.0,107.4,13.0,13.0,0.0,0.0,0.0,-5.0,0.0,1.0,629.0,2.0,,35.0,0.0,1.0,0.0
Daryle Lamonica,OAK,QB,31.0,121.22000000000003,14.0,13.0,1998.0,18.0,281.0,33.0,0.0,10.0,0.0,0.0,,0.0,12.0,5.0,0.0
Bob Trumpy,CIN,TE,27.0,106.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2.0,,44.0,0.0,0.0,0.0
Doug Dressler,CIN,RB,24.0,164.3,14.0,10.0,0.0,0.0,0.0,565.0,6.0,128.0,348.0,1.0,,39.0,0.0,4.0,0.0
Don Herrmann,NYG,WR,25.0,101.10000000000001,14.0,14.0,0.0,0.0,0.0,9.0,0.0,3.0,422.0,5.0,,28.0,0.0,0.0,0.0
Roy Jefferson,WAS,WR,29.0,106.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,3.0,,35.0,0.0,1.0,0.0
Ahmad Rashad,STL,WR,23.0,91.4,14.0,13.0,0.0,0.0,0.0,44.0,0.0,9.0,500.0,3.0,,29.0,0.0,5.0,0.0
Ed Podolak,KAN,RB,25.0,158.0,13.0,10.0,0.0,0.0,0.0,615.0,4.0,171.0,345.0,2.0,,46.0,0.0,10.0,0.0
Leroy Kelly,CLE,RB,30.0,146.5,14.0,14.0,0.0,0.0,1.0,811.0,4.0,224.0,204.0,1.0,,23.0,0.0,4.0,0.0
Milt Morin,CLE,TE,30.0,90.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,1.0,,30.0,0.0,0.0,0.0
Craig Morton,DAL,QB,29.0,120.44,14.0,14.0,2396.0,15.0,339.0,26.0,2.0,8.0,0.0,0.0,,0.0,21.0,4.0,0.0
Bob Newland,NOR,WR,24.0,114.9,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0,2.0,,47.0,0.0,1.0,0.0
MacArthur Lane,GNB,RB,30.0,143.36,14.0,14.0,19.0,0.0,2.0,821.0,3.0,177.0,285.0,0.0,,26.0,0.0,6.0,0.0
Steve Spurrier,SFO,QB,27.0,120.41999999999999,13.0,9.0,1983.0,18.0,269.0,51.0,0.0,11.0,0.0,0.0,,0.0,16.0,2.0,0.0
Billy Masters,DEN,TE,28.0,78.8,14.0,14.0,0.0,0.0,0.0,-15.0,0.0,3.0,393.0,3.0,,25.0,0.0,1.0,0.0
Jim Bertelsen,RAM,RB,22.0,148.2,14.0,7.0,0.0,0.0,0.0,581.0,5.0,123.0,331.0,1.0,,29.0,0.0,4.0,0.0
Earl Thomas,CHI,TE,24.0,73.8,14.0,14.0,0.0,0.0,0.0,13.0,0.0,5.0,365.0,3.0,,20.0,0.0,1.0,0.0
Jackie Smith,STL,TE,32.0,81.8,14.0,14.0,0.0,0.0,2.0,31.0,0.0,5.0,407.0,2.0,,26.0,0.0,0.0,0.0
Willie Ellison,RAM,RB,27.0,143.5,13.0,12.0,0.0,0.0,0.0,764.0,5.0,170.0,141.0,1.0,,23.0,0.0,3.0,0.0
Altie Taylor,DET,RB,25.0,151.8,13.0,12.0,0.0,0.0,0.0,658.0,4.0,154.0,250.0,2.0,,29.0,0.0,2.0,0.0
Donny Anderson,STL,RB,29.0,138.24,14.0,13.0,71.0,0.0,3.0,536.0,4.0,153.0,298.0,2.0,,28.0,0.0,6.0,0.0
John Hadl,SDG,QB,32.0,109.25999999999999,14.0,14.0,2449.0,15.0,370.0,99.0,1.0,22.0,4.0,0.0,,1.0,26.0,7.0,0.0
Billy Kilmer,WAS,QB,33.0,117.62000000000002,12.0,10.0,1648.0,19.0,225.0,-3.0,0.0,3.0,0.0,0.0,,0.0,11.0,1.0,0.0
Ken Anderson,CIN,QB,23.0,108.12,13.0,13.0,1918.0,7.0,301.0,94.0,3.0,22.0,0.0,0.0,,0.0,7.0,5.0,0.0
Carl Garrett,NWE,RB,25.0,137.8,10.0,6.0,0.0,0.0,1.0,488.0,5.0,131.0,410.0,0.0,,30.0,1.0,5.0,0.0
Don McCauley,BAL,RB,23.0,143.1,14.0,10.0,0.0,0.0,0.0,675.0,2.0,178.0,256.0,2.0,,30.0,0.0,2.0,0.0
Vic Washington,SFO,RB,26.0,139.1,13.0,13.0,0.0,0.0,0.0,468.0,3.0,141.0,393.0,1.0,,43.0,0.0,7.0,0.0
Len Dawson,KAN,QB,37.0,104.9,14.0,12.0,1835.0,13.0,305.0,75.0,0.0,15.0,0.0,0.0,,0.0,12.0,2.0,0.0
Marty Domres,BAL,QB,25.0,99.38000000000001,12.0,9.0,1392.0,11.0,222.0,137.0,1.0,30.0,0.0,0.0,,0.0,6.0,4.0,0.0
Roman Gabriel,RAM,QB,32.0,94.67999999999998,14.0,12.0,2027.0,12.0,323.0,16.0,1.0,14.0,0.0,0.0,,0.0,15.0,6.0,0.0
John Fuqua,PIT,RB,26.0,121.7,13.0,13.0,0.0,0.0,0.0,665.0,4.0,150.0,152.0,0.0,,18.0,0.0,1.0,0.0
Jim Braxton,BUF,RB,23.0,124.5,14.0,13.0,0.0,0.0,0.0,453.0,5.0,116.0,232.0,1.0,,24.0,0.0,2.0,0.0
Dan Pastorini,HOU,QB,23.0,92.94,14.0,12.0,1711.0,7.0,299.0,205.0,2.0,38.0,0.0,0.0,,0.0,12.0,6.0,0.0
Bill Brown,MIN,RB,34.0,118.1,14.0,0.0,0.0,0.0,0.0,263.0,4.0,82.0,298.0,4.0,,22.0,0.0,4.0,0.0
Charlie Harraway,WAS,RB,28.0,114.2,14.0,14.0,0.0,0.0,0.0,567.0,6.0,148.0,105.0,0.0,,15.0,0.0,2.0,0.0
Jim Kiick,MIA,RB,26.0,117.80000000000001,14.0,3.0,0.0,0.0,0.0,521.0,5.0,137.0,147.0,1.0,,21.0,0.0,3.0,0.0
Dennis Shaw,BUF,QB,25.0,90.44,14.0,13.0,1666.0,14.0,258.0,138.0,0.0,35.0,0.0,0.0,,0.0,17.0,6.0,0.0
Wendell Hayes,KAN,RB,32.0,132.1,13.0,12.0,0.0,0.0,0.0,536.0,0.0,128.0,295.0,3.0,,31.0,0.0,0.0,0.0
Josh Ashton,NWE,RB,23.0,115.30000000000001,14.0,12.0,0.0,0.0,0.0,546.0,3.0,128.0,207.0,1.0,,22.0,0.0,3.0,0.0
Charley Johnson,DEN,QB,34.0,91.32,12.0,9.0,1783.0,14.0,238.0,0.0,0.0,3.0,0.0,0.0,,0.0,14.0,4.0,0.0
Jim Plunkett,NWE,QB,25.0,86.84,14.0,14.0,2196.0,8.0,355.0,230.0,1.0,36.0,0.0,0.0,,0.0,25.0,6.0,0.0
Johnny Roland,STL,RB,29.0,121.5,14.0,9.0,0.0,0.0,0.0,414.0,2.0,105.0,321.0,2.0,,38.0,0.0,7.0,0.0
Earl Morrall+,MIA,QB,38.0,91.10000000000001,14.0,9.0,1360.0,11.0,150.0,67.0,1.0,17.0,0.0,0.0,,0.0,7.0,3.0,0.0
Oscar Reed,MIN,RB,28.0,112.4,14.0,14.0,0.0,0.0,0.0,639.0,2.0,151.0,205.0,0.0,,30.0,0.0,7.0,0.0
Scott Hunter,GNB,QB,25.0,79.78,14.0,14.0,1252.0,6.0,199.0,37.0,5.0,22.0,0.0,0.0,,0.0,9.0,5.0,0.0
Larry Schreiber,SFO,RB,25.0,111.3,14.0,3.0,0.0,0.0,0.0,420.0,2.0,118.0,283.0,1.0,,31.0,0.0,4.0,0.0
Steve Owens,DET,RB,25.0,100.9,10.0,9.0,0.0,0.0,0.0,519.0,4.0,143.0,100.0,0.0,,15.0,0.0,0.0,0.0
Bo Scott,CLE,RB,29.0,105.30000000000001,12.0,12.0,0.0,0.0,0.0,571.0,2.0,123.0,172.0,0.0,,23.0,0.0,2.0,0.0
