Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Walter Payton,CHI,RB,23.0,313.1,14.0,14.0,0.0,0.0,0.0,1852.0,14.0,339.0,269.0,2.0,,27.0,0.0,11.0,0.0
Lydell Mitchell,BAL,RB,28.0,280.9,14.0,14.0,0.0,0.0,0.0,1159.0,3.0,301.0,620.0,4.0,,71.0,0.0,5.0,0.0
Nat Moore,MIA,WR,26.0,215.4,14.0,14.0,0.0,0.0,0.0,89.0,1.0,14.0,765.0,12.0,,52.0,0.0,0.0,0.0
Tony Dorsett,DAL,RB,23.0,222.36,14.0,4.0,34.0,0.0,1.0,1007.0,12.0,208.0,273.0,1.0,,29.0,0.0,7.0,0.0
Lawrence McCutcheon,RAM,RB,27.0,218.2,14.0,14.0,0.0,0.0,0.0,1238.0,7.0,294.0,274.0,2.0,,25.0,0.0,6.0,0.0
Chuck Foreman,MIN,RB,27.0,216.0,14.0,14.0,0.0,0.0,0.0,1112.0,6.0,270.0,308.0,3.0,,38.0,0.0,9.0,0.0
Roger Staubach,DAL,QB,35.0,177.9,14.0,14.0,2620.0,18.0,361.0,171.0,3.0,51.0,0.0,0.0,,0.0,9.0,8.0,0.0
Greg Pruitt,CLE,RB,26.0,213.82,14.0,14.0,28.0,3.0,9.0,1086.0,3.0,236.0,471.0,1.0,,37.0,0.0,8.0,0.0
Franco Harris,PIT,RB,27.0,179.4,14.0,14.0,0.0,0.0,0.0,1162.0,11.0,300.0,62.0,0.0,,11.0,0.0,10.0,0.0
Mark van Eeghen,OAK,RB,25.0,191.8,14.0,14.0,0.0,0.0,0.0,1273.0,7.0,324.0,135.0,0.0,,15.0,0.0,3.0,0.0
Bert Jones,BAL,QB,26.0,176.04,14.0,14.0,2686.0,17.0,393.0,146.0,2.0,28.0,0.0,0.0,,0.0,11.0,2.0,0.0
Ken Burrough,HOU,WR,29.0,165.6,14.0,14.0,0.0,0.0,1.0,10.0,0.0,4.0,816.0,8.0,,43.0,0.0,4.0,0.0
Sammy White,MIN,WR,23.0,167.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,9.0,,41.0,0.0,2.0,0.0
John Stallworth,PIT,WR,25.0,167.1,14.0,14.0,0.0,0.0,0.0,47.0,0.0,6.0,784.0,7.0,,44.0,0.0,1.0,0.0
Steve Largent,SEA,WR,23.0,157.3,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,10.0,,33.0,0.0,0.0,0.0
