Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Eric Dickerson,IND,RB,28.0,319.6,16.0,16.0,0.0,0.0,0.0,1659.0,14.0,388.0,377.0,1.0,,36.0,0.0,5.0,0.0
Randall Cunningham,PHI,QB,25.0,290.71999999999997,16.0,16.0,3808.0,24.0,560.0,624.0,6.0,93.0,0.0,0.0,,0.0,16.0,12.0,0.0
Roger Craig,SFO,RB,28.0,323.6,16.0,15.0,0.0,0.0,0.0,1502.0,9.0,310.0,534.0,1.0,,76.0,0.0,8.0,0.0
Herschel Walker,DAL,RB,26.0,284.9,16.0,16.0,0.0,0.0,0.0,1514.0,5.0,361.0,505.0,2.0,,53.0,0.0,6.0,0.0
Greg Bell,RAM,RB,26.0,253.60000000000002,16.0,13.0,0.0,0.0,0.0,1212.0,16.0,288.0,124.0,2.0,,24.0,0.0,6.0,0.0
Henry Ellard,RAM,WR,27.0,282.09999999999997,16.0,15.0,0.0,0.0,0.0,7.0,0.0,1.0,1414.0,10.0,,86.0,0.0,3.0,0.0
Jerry Rice,SFO,WR,26.0,259.86,16.0,16.0,14.0,0.0,3.0,107.0,1.0,13.0,1306.0,9.0,,64.0,1.0,2.0,0.0
Mark Clayton,MIA,WR,27.0,283.29999999999995,16.0,16.0,0.0,0.0,0.0,4.0,0.0,1.0,1129.0,14.0,,86.0,0.0,0.0,0.0
Neal Anderson,CHI,RB,24.0,242.7,16.0,16.0,0.0,0.0,1.0,1106.0,12.0,249.0,371.0,0.0,,39.0,0.0,8.0,0.0
Ricky Sanders,WAS,WR,28.0,261.2,16.0,4.0,0.0,0.0,0.0,14.0,0.0,2.0,1148.0,12.0,,73.0,0.0,0.0,0.0
Boomer Esiason,CIN,QB,27.0,247.68,16.0,16.0,3572.0,28.0,388.0,248.0,1.0,43.0,0.0,0.0,,0.0,14.0,5.0,0.0
Jim Everett,RAM,QB,25.0,242.95999999999998,16.0,16.0,3964.0,31.0,517.0,104.0,0.0,34.0,0.0,0.0,,0.0,18.0,7.0,0.0
Ickey Woods,CIN,RB,22.0,221.5,16.0,10.0,0.0,0.0,0.0,1066.0,15.0,203.0,199.0,0.0,,21.0,0.0,8.0,0.0
Eddie Brown,CIN,WR,26.0,231.8,16.0,16.0,0.0,0.0,0.0,-5.0,0.0,1.0,1273.0,9.0,,53.0,0.0,1.0,0.0
John Settle,ATL,RB,23.0,269.4,16.0,13.0,0.0,0.0,0.0,1024.0,7.0,232.0,570.0,1.0,,68.0,0.0,3.0,0.0
Keith Jackson,PHI,TE,23.0,197.9,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,869.0,6.0,,81.0,0.0,3.0,0.0
James Brooks,CIN,RB,30.0,232.8,15.0,15.0,0.0,0.0,0.0,931.0,8.0,182.0,287.0,6.0,,29.0,0.0,1.0,0.0
Drew Hill,HOU,WR,32.0,246.1,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.0,10.0,,72.0,0.0,0.0,0.0
Dan Marino,MIA,QB,27.0,221.66000000000003,16.0,16.0,4434.0,28.0,606.0,-17.0,0.0,20.0,0.0,0.0,,0.0,23.0,10.0,0.0
John Williams,SEA,RB,24.0,252.8,16.0,16.0,0.0,0.0,0.0,877.0,4.0,189.0,651.0,3.0,,58.0,0.0,0.0,0.0
Mickey Shuler,NYJ,TE,32.0,178.5,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0,5.0,,70.0,0.0,1.0,0.0
Anthony Carter,MIN,WR,28.0,232.6,16.0,16.0,0.0,0.0,0.0,41.0,0.0,4.0,1225.0,6.0,,72.0,0.0,1.0,0.0
Curt Warner,SEA,RB,27.0,201.9,16.0,16.0,0.0,0.0,0.0,1025.0,10.0,266.0,154.0,2.0,,22.0,0.0,5.0,0.0
Steve Jordan,MIN,TE,27.0,158.6,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,5.0,,57.0,0.0,2.0,0.0
Bruce Hill,TAM,WR,24.0,210.9,14.0,14.0,0.0,0.0,0.0,-11.0,0.0,2.0,1040.0,9.0,,58.0,0.0,2.0,0.0
Roy Green,PHO,WR,31.0,219.79999999999998,16.0,16.0,0.0,0.0,0.0,1.0,0.0,4.0,1097.0,7.0,,68.0,0.0,0.0,0.0
Eric Martin,NOR,WR,27.0,232.5,16.0,16.0,0.0,0.0,0.0,12.0,0.0,2.0,1083.0,7.0,,85.0,0.0,2.0,0.0
Keith Byars,PHI,RB,25.0,244.2,16.0,16.0,0.0,0.0,2.0,517.0,6.0,152.0,705.0,4.0,,72.0,0.0,5.0,0.0
Louis Lipps,PIT,WR,26.0,194.72,16.0,16.0,13.0,1.0,2.0,129.0,1.0,6.0,973.0,5.0,,50.0,1.0,2.0,0.0
Earl Ferrell,PHO,RB,30.0,201.9,16.0,16.0,0.0,0.0,0.0,924.0,7.0,202.0,315.0,2.0,,38.0,0.0,7.0,0.0
Mike Rozier,HOU,RB,27.0,173.1,15.0,14.0,0.0,0.0,0.0,1002.0,10.0,251.0,99.0,1.0,,11.0,0.0,7.0,0.0
Mark Bavaro,NYG,TE,25.0,142.2,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,4.0,,53.0,0.0,1.0,0.0
Phil Simms,NYG,QB,33.0,197.56,15.0,15.0,3359.0,21.0,479.0,152.0,0.0,33.0,0.0,0.0,,0.0,11.0,7.0,0.0
Andre Reed,BUF,WR,24.0,208.20000000000002,15.0,14.0,0.0,0.0,0.0,64.0,0.0,6.0,968.0,6.0,,71.0,0.0,1.0,0.0
Al Toon,NYJ,WR,25.0,226.2,15.0,15.0,0.0,0.0,0.0,5.0,0.0,1.0,1067.0,5.0,,93.0,0.0,2.0,0.0
Neil Lomax,PHO,QB,29.0,195.3,14.0,14.0,3395.0,20.0,443.0,55.0,1.0,17.0,0.0,0.0,,0.0,11.0,5.0,0.0
Pete Holohan,RAM,TE,29.0,139.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,3.0,,59.0,0.0,1.0,0.0
Jay Novacek,PHO,TE,26.0,119.9,16.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,569.0,4.0,,38.0,0.0,0.0,0.0
Freeman McNeil,NYJ,RB,29.0,193.2,16.0,16.0,0.0,0.0,0.0,944.0,6.0,219.0,288.0,1.0,,34.0,0.0,3.0,0.0
Joe Montana,SFO,QB,32.0,196.44,14.0,13.0,2981.0,18.0,397.0,132.0,3.0,38.0,0.0,0.0,,0.0,10.0,3.0,0.0
Stephone Paige,KAN,WR,27.0,189.2,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,902.0,7.0,,61.0,0.0,2.0,0.0
Gary Clark,WAS,WR,26.0,186.79999999999998,16.0,13.0,0.0,0.0,0.0,6.0,0.0,2.0,892.0,7.0,,59.0,0.0,2.0,0.0
Marcus Allen,RAI,RB,28.0,186.24,15.0,15.0,21.0,0.0,2.0,831.0,7.0,223.0,303.0,1.0,,34.0,0.0,5.0,0.0
Ernest Givins,HOU,WR,24.0,188.2,16.0,16.0,0.0,0.0,0.0,26.0,0.0,4.0,976.0,5.0,,60.0,0.0,1.0,0.0
J.T. Smith,PHO,WR,33.0,205.1,16.0,16.0,0.0,0.0,0.0,15.0,0.0,1.0,986.0,5.0,,83.0,0.0,4.0,0.0
Lionel Manuel,NYG,WR,26.0,192.6,16.0,16.0,0.0,0.0,0.0,27.0,0.0,4.0,1029.0,4.0,,65.0,0.0,1.0,0.0
Steve Pelluer,DAL,QB,26.0,186.96,16.0,14.0,3139.0,17.0,435.0,314.0,2.0,51.0,0.0,0.0,,0.0,19.0,6.0,0.0
Art Monk,WAS,WR,31.0,201.2,16.0,13.0,0.0,0.0,1.0,46.0,0.0,7.0,946.0,5.0,,72.0,0.0,0.0,0.0
Reggie Langhorne,CLE,WR,25.0,179.6,16.0,16.0,0.0,0.0,0.0,26.0,1.0,2.0,780.0,7.0,,57.0,0.0,3.0,0.0
Ferrell Edmunds,MIA,TE,23.0,99.7,16.0,14.0,0.0,0.0,0.0,-8.0,0.0,1.0,575.0,3.0,,33.0,0.0,4.0,0.0
Mark Carrier,TAM,WR,23.0,180.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,5.0,,57.0,0.0,2.0,0.0
Dalton Hilliard,NOR,RB,24.0,184.88,16.0,8.0,27.0,1.0,2.0,823.0,5.0,204.0,335.0,1.0,,34.0,0.0,3.0,0.0
Damone Johnson,RAM,TE,26.0,113.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,6.0,,42.0,0.0,0.0,0.0
Merril Hoge,PIT,RB,23.0,189.2,16.0,8.0,0.0,0.0,0.0,705.0,3.0,170.0,487.0,3.0,,50.0,0.0,8.0,0.0
Rodney Holman,CIN,TE,28.0,105.7,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,3.0,,39.0,0.0,2.0,0.0
Joe Morris,NYG,RB,28.0,162.9,16.0,15.0,0.0,0.0,0.0,1083.0,5.0,307.0,166.0,0.0,,22.0,0.0,7.0,0.0
Robert Awalt,PHO,TE,24.0,106.4,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,4.0,,39.0,0.0,1.0,0.0
John Elway,DEN,QB,28.0,177.76000000000002,15.0,15.0,3309.0,17.0,496.0,234.0,1.0,54.0,0.0,0.0,,0.0,19.0,7.0,0.0
Mark Jackson,DEN,WR,25.0,165.7,12.0,4.0,0.0,0.0,0.0,5.0,0.0,1.0,852.0,6.0,,46.0,0.0,1.0,0.0
Robb Riddick,BUF,RB,31.0,175.24,15.0,0.0,31.0,0.0,2.0,438.0,12.0,111.0,282.0,1.0,,30.0,0.0,3.0,0.0
Vance Johnson,DEN,WR,25.0,187.7,16.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,896.0,5.0,,68.0,0.0,0.0,0.0
John Stephens,NWE,RB,22.0,158.6,16.0,14.0,0.0,0.0,0.0,1168.0,4.0,297.0,98.0,0.0,,14.0,0.0,3.0,0.0
Brian Blades,SEA,WR,23.0,156.6,16.0,7.0,0.0,0.0,0.0,24.0,0.0,5.0,682.0,8.0,,40.0,0.0,1.0,0.0
Gary Anderson,SDG,RB,27.0,170.10000000000002,14.0,13.0,0.0,0.0,0.0,1119.0,3.0,225.0,182.0,0.0,,32.0,0.0,5.0,0.0
Ray Alexander,DAL,WR,26.0,168.8,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,6.0,,54.0,0.0,0.0,0.0
Bobby Hebert,NOR,QB,28.0,168.14000000000001,16.0,16.0,3156.0,20.0,478.0,79.0,0.0,37.0,0.0,0.0,,2.0,15.0,9.0,0.0
Warren Moon,HOU,QB,32.0,167.88,11.0,11.0,2327.0,17.0,294.0,88.0,5.0,33.0,0.0,0.0,,0.0,8.0,8.0,0.0
Earnest Byner,CLE,RB,26.0,194.2,16.0,16.0,0.0,0.0,0.0,576.0,3.0,157.0,576.0,2.0,,59.0,0.0,5.0,0.0
Tim Brown,RAI,WR,22.0,146.5,16.0,9.0,0.0,0.0,0.0,50.0,1.0,14.0,725.0,5.0,,43.0,0.0,5.0,0.0
Lonzell Hill,NOR,WR,23.0,173.0,16.0,15.0,0.0,0.0,1.0,7.0,0.0,2.0,703.0,7.0,,66.0,0.0,3.0,0.0
Cris Carter,PHI,WR,23.0,151.2,16.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,761.0,6.0,,39.0,0.0,0.0,0.0
Clarence Kay,DEN,TE,27.0,91.2,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,4.0,,34.0,0.0,1.0,0.0
Paul Palmer,KAN,RB,24.0,181.3,15.0,11.0,0.0,0.0,0.0,452.0,2.0,134.0,611.0,4.0,,53.0,0.0,7.0,0.0
Bill Brooks,IND,WR,24.0,162.89999999999998,16.0,16.0,0.0,0.0,0.0,62.0,0.0,5.0,867.0,3.0,,54.0,0.0,1.0,0.0
Ron Hall,TAM,TE,24.0,94.5,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,0.0,,39.0,0.0,0.0,0.0
Hassan Jones,MIN,WR,24.0,148.5,16.0,15.0,0.0,0.0,0.0,7.0,0.0,1.0,778.0,5.0,,40.0,0.0,0.0,0.0
Johnny Hector,NYJ,RB,28.0,159.8,16.0,1.0,0.0,0.0,1.0,561.0,10.0,137.0,237.0,0.0,,26.0,0.0,3.0,0.0
Bubby Brister,PIT,QB,26.0,162.26000000000002,13.0,13.0,2634.0,11.0,370.0,209.0,6.0,45.0,0.0,0.0,,0.0,14.0,8.0,0.0
Jim Kelly,BUF,QB,28.0,168.1,16.0,16.0,3380.0,15.0,452.0,154.0,0.0,35.0,5.0,0.0,,1.0,17.0,5.0,0.0
Wade Wilson,MIN,QB,29.0,169.44,14.0,10.0,2746.0,15.0,332.0,136.0,2.0,36.0,0.0,0.0,,0.0,9.0,4.0,0.0
Steve DeBerg,KAN,QB,34.0,156.4,13.0,11.0,2935.0,16.0,414.0,30.0,1.0,18.0,0.0,0.0,,0.0,16.0,1.0,0.0
Ken O'Brien,NYJ,QB,28.0,129.18,14.0,12.0,2567.0,15.0,424.0,25.0,0.0,21.0,0.0,0.0,,0.0,7.0,11.0,0.0
Doug Williams,WAS,QB,33.0,134.36,11.0,10.0,2609.0,15.0,380.0,0.0,1.0,9.0,0.0,0.0,,0.0,12.0,6.0,0.0
Garry James,DET,RB,25.0,168.4,16.0,16.0,0.0,0.0,0.0,552.0,5.0,182.0,382.0,2.0,,39.0,0.0,3.0,0.0
Lorenzo Hampton,MIA,RB,26.0,152.8,16.0,10.0,0.0,0.0,0.0,414.0,9.0,117.0,204.0,3.0,,23.0,0.0,2.0,0.0
Dave Krieg,SEA,QB,30.0,120.03999999999999,9.0,9.0,1741.0,18.0,228.0,64.0,0.0,24.0,0.0,0.0,,0.0,8.0,6.0,0.0
Kelvin Bryant,WAS,RB,28.0,166.5,10.0,4.0,0.0,0.0,0.0,498.0,1.0,108.0,447.0,5.0,,42.0,0.0,3.0,0.0
Vinny Testaverde,TAM,QB,25.0,115.39999999999998,15.0,15.0,3240.0,13.0,466.0,138.0,1.0,28.0,0.0,0.0,,0.0,35.0,8.0,0.0
Don Majkowski,GNB,QB,24.0,111.26,13.0,9.0,2119.0,9.0,336.0,225.0,1.0,47.0,0.0,0.0,,0.0,11.0,8.0,0.0
Chris Miller,ATL,QB,23.0,121.11999999999999,13.0,13.0,2133.0,11.0,351.0,138.0,1.0,31.0,0.0,0.0,,0.0,12.0,2.0,0.0
Stump Mitchell,PHO,RB,29.0,137.0,14.0,14.0,0.0,0.0,0.0,726.0,4.0,164.0,214.0,1.0,,25.0,0.0,6.0,0.0
Mark Rypien,WAS,QB,26.0,112.29999999999998,9.0,6.0,1730.0,18.0,208.0,31.0,1.0,9.0,0.0,0.0,,0.0,13.0,6.0,0.0
Thurman Thomas,BUF,RB,22.0,120.89999999999998,15.0,15.0,0.0,0.0,0.0,881.0,2.0,207.0,208.0,0.0,,18.0,0.0,9.0,0.0
Tony Dorsett,DEN,RB,34.0,120.78,16.0,13.0,7.0,1.0,2.0,703.0,5.0,181.0,122.0,0.0,,16.0,0.0,6.0,0.0
Allen Pinkett,HOU,RB,24.0,124.69999999999999,16.0,2.0,0.0,0.0,0.0,513.0,7.0,122.0,114.0,2.0,,12.0,0.0,2.0,0.0
Jay Schroeder,RAI,QB,27.0,104.46000000000001,9.0,8.0,1839.0,13.0,256.0,109.0,1.0,29.0,0.0,0.0,,0.0,13.0,6.0,0.0
Brent Fullwood,GNB,RB,25.0,117.1,14.0,10.0,0.0,0.0,0.0,483.0,7.0,101.0,128.0,1.0,,20.0,0.0,6.0,0.0
Stephen Baker,NYG,WR,24.0,147.6,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,7.0,,40.0,0.0,0.0,0.0
Bernie Kosar,CLE,QB,25.0,107.5,9.0,9.0,1890.0,10.0,259.0,-1.0,1.0,12.0,0.0,0.0,,0.0,7.0,0.0,0.0
Anthony Toney,PHI,RB,26.0,135.8,15.0,13.0,0.0,0.0,0.0,502.0,4.0,139.0,256.0,1.0,,34.0,0.0,2.0,0.0
Chris Chandler,IND,QB,23.0,88.66000000000001,15.0,13.0,1619.0,8.0,233.0,139.0,3.0,46.0,0.0,0.0,,0.0,12.0,8.0,0.0
Mervyn Fernandez,RAI,WR,29.0,136.4,16.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,805.0,4.0,,31.0,0.0,0.0,0.0
Tim McGee,CIN,WR,24.0,140.6,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,6.0,,36.0,0.0,0.0,0.0
