Player,Tm,Pos,Age,FantasyPoints,G,GS,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Tgt,Rec,Int,Fumbles,FumblesLost
Dalton Hilliard,NOR,RB,25.0,329.0,16.0,16.0,35.0,1.0,1.0,1262.0,13.0,344.0,514.0,5.0,,52.0,0.0,7.0,0.0
Jerry Rice,SFO,WR,27.0,335.6,16.0,16.0,0.0,0.0,0.0,33.0,0.0,5.0,1483.0,17.0,,82.0,0.0,0.0,0.0
Thurman Thomas,BUF,RB,23.0,309.3,16.0,16.0,0.0,0.0,0.0,1244.0,6.0,298.0,669.0,6.0,,60.0,0.0,7.0,0.0
Neal Anderson,CHI,RB,25.0,300.9,16.0,16.0,0.0,0.0,0.0,1275.0,11.0,274.0,434.0,4.0,,50.0,0.0,5.0,0.0
Barry Sanders,DET,RB,21.0,263.2,15.0,13.0,0.0,0.0,0.0,1470.0,14.0,280.0,282.0,0.0,,24.0,0.0,10.0,0.0
Don Majkowski,GNB,QB,25.0,276.52000000000004,16.0,16.0,4318.0,27.0,599.0,358.0,5.0,75.0,0.0,0.0,,0.0,20.0,15.0,0.0
Sterling Sharpe,GNB,WR,24.0,304.8,16.0,16.0,0.0,0.0,0.0,25.0,0.0,2.0,1423.0,12.0,,90.0,0.0,1.0,0.0
Christian Okoye,KAN,RB,28.0,207.2,15.0,14.0,0.0,0.0,0.0,1480.0,12.0,370.0,12.0,0.0,,2.0,0.0,8.0,0.0
Ottis Anderson,NYG,RB,32.0,237.1,16.0,16.0,0.0,0.0,0.0,1023.0,14.0,325.0,268.0,0.0,,28.0,0.0,2.0,0.0
Greg Bell,RAM,RB,27.0,217.2,16.0,15.0,0.0,0.0,0.0,1137.0,15.0,272.0,85.0,0.0,,19.0,0.0,7.0,0.0
Mark Carrier,TAM,WR,24.0,280.2,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1422.0,9.0,,86.0,0.0,1.0,0.0
James Brooks,CIN,RB,31.0,227.5,16.0,14.0,0.0,0.0,0.0,1239.0,7.0,221.0,306.0,2.0,,37.0,0.0,9.0,0.0
Randall Cunningham,PHI,QB,26.0,242.10000000000002,16.0,16.0,3400.0,21.0,532.0,621.0,4.0,104.0,0.0,0.0,,0.0,15.0,17.0,0.0
Rodney Holman,CIN,TE,29.0,177.6,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,9.0,,50.0,0.0,0.0,0.0
Andre Reed,BUF,WR,25.0,268.3,16.0,16.0,0.0,0.0,0.0,31.0,0.0,2.0,1312.0,9.0,,88.0,0.0,4.0,0.0
Eric Dickerson,IND,RB,29.0,210.2,15.0,14.0,0.0,0.0,0.0,1311.0,7.0,314.0,211.0,1.0,,30.0,0.0,10.0,0.0
Anthony Miller,SDG,WR,24.0,260.3,16.0,16.0,0.0,0.0,0.0,21.0,0.0,4.0,1252.0,10.0,,75.0,0.0,1.0,0.0
Henry Ellard,RAM,WR,28.0,257.2,14.0,12.0,0.0,0.0,0.0,10.0,0.0,2.0,1382.0,8.0,,70.0,0.0,0.0,0.0
